full_chapter_id	number	book_reference
GEN 1	1	GEN
GEN 2	2	GEN
GEN 3	3	GEN
GEN 4	4	GEN
GEN 5	5	GEN
GEN 6	6	GEN
GEN 7	7	GEN
GEN 8	8	GEN
GEN 9	9	GEN
GEN 10	10	GEN
GEN 11	11	GEN
GEN 12	12	GEN
GEN 13	13	GEN
GEN 14	14	GEN
GEN 15	15	GEN
GEN 16	16	GEN
GEN 17	17	GEN
GEN 18	18	GEN
GEN 19	19	GEN
GEN 20	20	GEN
GEN 21	21	GEN
GEN 22	22	GEN
GEN 23	23	GEN
GEN 24	24	GEN
GEN 25	25	GEN
GEN 26	26	GEN
GEN 27	27	GEN
GEN 28	28	GEN
GEN 29	29	GEN
GEN 30	30	GEN
GEN 31	31	GEN
GEN 32	32	GEN
GEN 33	33	GEN
GEN 34	34	GEN
GEN 35	35	GEN
GEN 36	36	GEN
GEN 37	37	GEN
GEN 38	38	GEN
GEN 39	39	GEN
GEN 40	40	GEN
GEN 41	41	GEN
GEN 42	42	GEN
GEN 43	43	GEN
GEN 44	44	GEN
GEN 45	45	GEN
GEN 46	46	GEN
GEN 47	47	GEN
GEN 48	48	GEN
GEN 49	49	GEN
GEN 50	50	GEN
EXO 1	1	EXO
EXO 2	2	EXO
EXO 3	3	EXO
EXO 4	4	EXO
EXO 5	5	EXO
EXO 6	6	EXO
EXO 7	7	EXO
EXO 8	8	EXO
EXO 9	9	EXO
EXO 10	10	EXO
EXO 11	11	EXO
EXO 12	12	EXO
EXO 13	13	EXO
EXO 14	14	EXO
EXO 15	15	EXO
EXO 16	16	EXO
EXO 17	17	EXO
EXO 18	18	EXO
EXO 19	19	EXO
EXO 20	20	EXO
EXO 21	21	EXO
EXO 22	22	EXO
EXO 23	23	EXO
EXO 24	24	EXO
EXO 25	25	EXO
EXO 26	26	EXO
EXO 27	27	EXO
EXO 28	28	EXO
EXO 29	29	EXO
EXO 30	30	EXO
EXO 31	31	EXO
EXO 32	32	EXO
EXO 33	33	EXO
EXO 34	34	EXO
EXO 35	35	EXO
EXO 36	36	EXO
EXO 37	37	EXO
EXO 38	38	EXO
EXO 39	39	EXO
EXO 40	40	EXO
LEV 1	1	LEV
LEV 2	2	LEV
LEV 3	3	LEV
LEV 4	4	LEV
LEV 5	5	LEV
LEV 6	6	LEV
LEV 7	7	LEV
LEV 8	8	LEV
LEV 9	9	LEV
LEV 10	10	LEV
LEV 11	11	LEV
LEV 12	12	LEV
LEV 13	13	LEV
LEV 14	14	LEV
LEV 15	15	LEV
LEV 16	16	LEV
LEV 17	17	LEV
LEV 18	18	LEV
LEV 19	19	LEV
LEV 20	20	LEV
LEV 21	21	LEV
LEV 22	22	LEV
LEV 23	23	LEV
LEV 24	24	LEV
LEV 25	25	LEV
LEV 26	26	LEV
LEV 27	27	LEV
NUM 1	1	NUM
NUM 2	2	NUM
NUM 3	3	NUM
NUM 4	4	NUM
NUM 5	5	NUM
NUM 6	6	NUM
NUM 7	7	NUM
NUM 8	8	NUM
NUM 9	9	NUM
NUM 10	10	NUM
NUM 11	11	NUM
NUM 12	12	NUM
NUM 13	13	NUM
NUM 14	14	NUM
NUM 15	15	NUM
NUM 16	16	NUM
NUM 17	17	NUM
NUM 18	18	NUM
NUM 19	19	NUM
NUM 20	20	NUM
NUM 21	21	NUM
NUM 22	22	NUM
NUM 23	23	NUM
NUM 24	24	NUM
NUM 25	25	NUM
NUM 26	26	NUM
NUM 27	27	NUM
NUM 28	28	NUM
NUM 29	29	NUM
NUM 30	30	NUM
NUM 31	31	NUM
NUM 32	32	NUM
NUM 33	33	NUM
NUM 34	34	NUM
NUM 35	35	NUM
NUM 36	36	NUM
DEU 1	1	DEU
DEU 2	2	DEU
DEU 3	3	DEU
DEU 4	4	DEU
DEU 5	5	DEU
DEU 6	6	DEU
DEU 7	7	DEU
DEU 8	8	DEU
DEU 9	9	DEU
DEU 10	10	DEU
DEU 11	11	DEU
DEU 12	12	DEU
DEU 13	13	DEU
DEU 14	14	DEU
DEU 15	15	DEU
DEU 16	16	DEU
DEU 17	17	DEU
DEU 18	18	DEU
DEU 19	19	DEU
DEU 20	20	DEU
DEU 21	21	DEU
DEU 22	22	DEU
DEU 23	23	DEU
DEU 24	24	DEU
DEU 25	25	DEU
DEU 26	26	DEU
DEU 27	27	DEU
DEU 28	28	DEU
DEU 29	29	DEU
DEU 30	30	DEU
DEU 31	31	DEU
DEU 32	32	DEU
DEU 33	33	DEU
DEU 34	34	DEU
JOS 1	1	JOS
JOS 2	2	JOS
JOS 3	3	JOS
JOS 4	4	JOS
JOS 5	5	JOS
JOS 6	6	JOS
JOS 7	7	JOS
JOS 8	8	JOS
JOS 9	9	JOS
JOS 10	10	JOS
JOS 11	11	JOS
JOS 12	12	JOS
JOS 13	13	JOS
JOS 14	14	JOS
JOS 15	15	JOS
JOS 16	16	JOS
JOS 17	17	JOS
JOS 18	18	JOS
JOS 19	19	JOS
JOS 20	20	JOS
JOS 21	21	JOS
JOS 22	22	JOS
JOS 23	23	JOS
JOS 24	24	JOS
JDG 1	1	JDG
JDG 2	2	JDG
JDG 3	3	JDG
JDG 4	4	JDG
JDG 5	5	JDG
JDG 6	6	JDG
JDG 7	7	JDG
JDG 8	8	JDG
JDG 9	9	JDG
JDG 10	10	JDG
JDG 11	11	JDG
JDG 12	12	JDG
JDG 13	13	JDG
JDG 14	14	JDG
JDG 15	15	JDG
JDG 16	16	JDG
JDG 17	17	JDG
JDG 18	18	JDG
JDG 19	19	JDG
JDG 20	20	JDG
JDG 21	21	JDG
RUT 1	1	RUT
RUT 2	2	RUT
RUT 3	3	RUT
RUT 4	4	RUT
1SA 1	1	1SA
1SA 2	2	1SA
1SA 3	3	1SA
1SA 4	4	1SA
1SA 5	5	1SA
1SA 6	6	1SA
1SA 7	7	1SA
1SA 8	8	1SA
1SA 9	9	1SA
1SA 10	10	1SA
1SA 11	11	1SA
1SA 12	12	1SA
1SA 13	13	1SA
1SA 14	14	1SA
1SA 15	15	1SA
1SA 16	16	1SA
1SA 17	17	1SA
1SA 18	18	1SA
1SA 19	19	1SA
1SA 20	20	1SA
1SA 21	21	1SA
1SA 22	22	1SA
1SA 23	23	1SA
1SA 24	24	1SA
1SA 25	25	1SA
1SA 26	26	1SA
1SA 27	27	1SA
1SA 28	28	1SA
1SA 29	29	1SA
1SA 30	30	1SA
1SA 31	31	1SA
2SA 1	1	2SA
2SA 2	2	2SA
2SA 3	3	2SA
2SA 4	4	2SA
2SA 5	5	2SA
2SA 6	6	2SA
2SA 7	7	2SA
2SA 8	8	2SA
2SA 9	9	2SA
2SA 10	10	2SA
2SA 11	11	2SA
2SA 12	12	2SA
2SA 13	13	2SA
2SA 14	14	2SA
2SA 15	15	2SA
2SA 16	16	2SA
2SA 17	17	2SA
2SA 18	18	2SA
2SA 19	19	2SA
2SA 20	20	2SA
2SA 21	21	2SA
2SA 22	22	2SA
2SA 23	23	2SA
2SA 24	24	2SA
1KI 1	1	1KI
1KI 2	2	1KI
1KI 3	3	1KI
1KI 4	4	1KI
1KI 5	5	1KI
1KI 6	6	1KI
1KI 7	7	1KI
1KI 8	8	1KI
1KI 9	9	1KI
1KI 10	10	1KI
1KI 11	11	1KI
1KI 12	12	1KI
1KI 13	13	1KI
1KI 14	14	1KI
1KI 15	15	1KI
1KI 16	16	1KI
1KI 17	17	1KI
1KI 18	18	1KI
1KI 19	19	1KI
