vref,source,target,total_score
GEN 1:1,in,en,0.499005703125
GEN 1:1,the,la,0.6519614843749999
GEN 1:1,beginning,principio,0.779153125
GEN 1:1,god,dios,0.74442671875
GEN 1:1,created,creó,0.765173125
GEN 1:1,heaven,cielos,0.5218249218750001
GEN 1:1,and,y,0.5986284375
GEN 1:1,earth,tierra,0.58510046875
GEN 1:1,.,.,0.66724765625
GEN 1:2,and,y,0.5562784375
GEN 1:2,the,la,0.617501484375
GEN 1:2,earth,tierra,0.53610046875
GEN 1:2,was,y,0.1938474316406249
GEN 1:2,without,no,0.33868
GEN 1:2,form,no,0.33868
GEN 1:2,",",dios,0.2663667187499999
GEN 1:2,void,no,0.33868
GEN 1:2,;,no,0.33868
GEN 1:2,darkness,oscuridad,0.7373753125
GEN 1:2,upon,no,0.33868
GEN 1:2,face,no,0.33868
GEN 1:2,of,movía,0.3847823046874999
GEN 1:2,deep,no,0.33868
GEN 1:2,.,.,0.61178765625
GEN 1:2,spirit,no,0.33868
GEN 1:2,god,dios,0.70708271875
GEN 1:2,moved,no,0.33868
GEN 1:2,waters,aguas,0.570009453125
GEN 1:3,and,y,0.5693884375
GEN 1:3,god,dios,0.76948671875
GEN 1:3,said,dijo,0.7811084375
GEN 1:3,",",que,0.33417671875
GEN 1:3,let,«,0.55400234375
GEN 1:3,there,que,0.51952
GEN 1:3,be,haya,0.7683089062499999
GEN 1:3,light,luz,0.75757265625
GEN 1:3,:,luz,0.2592325390625
GEN 1:3,was,hubo,0.49066625
GEN 1:3,.,.,0.6572876562500001
GEN 1:4,and,y,0.6162684375
GEN 1:4,god,dios,0.7558267187500001
GEN 1:4,saw,vio,0.7536875000000001
GEN 1:4,the,la,0.636541484375
GEN 1:4,light,luz,0.72481265625
GEN 1:4,",",que,0.51263671875
GEN 1:4,that,era,0.7331603125
GEN 1:4,it,de,0.388420625
GEN 1:4,was,y,0.1938474316406249
GEN 1:4,good,buena,0.7452675
GEN 1:4,:,luego,0.437560078125
GEN 1:4,divided,.,0.2386971640625
GEN 1:4,from,de,0.520795390625
GEN 1:4,darkness,oscuridad,0.7744753125
GEN 1:4,.,.,0.64546765625
GEN 1:5,and,y,0.5614884375000001
GEN 1:5,god,dios,0.73484671875
GEN 1:5,called,a,0.75597609375
GEN 1:5,the,la,0.614441484375
GEN 1:5,light,luz,0.71083265625
GEN 1:5,day,día,0.76425609375
GEN 1:5,",",«,0.29060890625
GEN 1:5,darkness,oscuridad,0.7395153125
GEN 1:5,he,llamó,0.33868
GEN 1:5,night,llamó,0.33868
GEN 1:5,.,.,0.6193476562500001
GEN 1:5,evening,llamó,0.33868
GEN 1:5,morning,así,0.7316753125
GEN 1:5,were,llamó,0.1662
GEN 1:5,first,primer,0.7368153125
GEN 1:6,and,entonces,0.4744215
GEN 1:6,god,dios,0.73884671875
GEN 1:6,said,dijo,0.7519084375
GEN 1:6,",",que,0.50455071875
GEN 1:6,let,:,0.5365690937500001
GEN 1:6,there,que,0.48776
GEN 1:6,be,haya,0.73548890625
GEN 1:6,a,un,0.72110765625
GEN 1:6,firmament,espacio,0.70784296875
GEN 1:6,in,",",0.2964386328125
GEN 1:6,the,la,0.614821484375
GEN 1:6,midst,un,0.33868
GEN 1:6,of,las,0.32013953125
GEN 1:6,waters,aguas,0.560109453125
GEN 1:6,it,de,0.4723295312499999
GEN 1:6,divide,un,0.33868
GEN 1:6,from,de,0.504355390625
GEN 1:6,.,dios,0.33868
GEN 1:7,and,y,0.5977684375000001
GEN 1:7,god,dios,0.7019947187500001
GEN 1:7,made,eso,0.729593125
GEN 1:7,the,la,0.431892890625
GEN 1:7,firmament,espacio,0.70373096875
GEN 1:7,",",que,0.5226367187500001
GEN 1:7,divided,.,0.2610331640625
GEN 1:7,waters,aguas,0.567709453125
GEN 1:7,which,formó,0.7478010937499999
GEN 1:7,were,eso,0.15938
GEN 1:7,under,ese,0.70279171875
GEN 1:7,from,de,0.488921390625
GEN 1:7,above,eso,0.33868
GEN 1:7,:,que,0.2299399999999999
GEN 1:7,it,de,0.48106953125
GEN 1:7,was,y,0.1938474316406249
GEN 1:7,so,eso,0.33868
GEN 1:7,.,.,0.41738765625
