vref,source,target,total_score
GEN 1:1,en,am,0.58743953125
GEN 1:1,el,am,0.445034609375
GEN 1:1,principio,anfang,0.8170521875000001
GEN 1:1,",",schuf,0.525136671875
GEN 1:1,dios,gott,0.46884875
GEN 1:1,creó,gott,0.512353828125
GEN 1:1,los,himmel,0.6426703125000001
GEN 1:1,cielos,himmel,0.64491640625
GEN 1:1,y,und,0.5412071875000001
GEN 1:1,la,und,0.217190546875
GEN 1:1,tierra,erde,0.68999875
GEN 1:1,.,.,0.8025784375
GEN 1:2,la,die,0.5045140625
GEN 1:2,tierra,erde,0.64285875
GEN 1:2,no,wüst,0.33868
GEN 1:2,tenía,wüst,0.33868
GEN 1:2,forma,war,0.358351015625
GEN 1:2,y,und,0.371182109375
GEN 1:2,estaba,wüst,0.33868
GEN 1:2,vacía,wüst,0.33868
GEN 1:2,",",erde,0.18632078125
GEN 1:2,oscuridad,der,0.3450520703125
GEN 1:2,cubría,wüst,0.33868
GEN 1:2,las,auf,0.5626970812500001
GEN 1:2,aguas,wasser,0.5613316125
GEN 1:2,profundas,wüst,0.33868
GEN 1:2,;,es,0.6009920312499999
GEN 1:2,el,der,0.353844921875
GEN 1:2,espíritu,wüst,0.33868
GEN 1:2,de,dem,0.365533984375
GEN 1:2,dios,und,0.3791724609374999
GEN 1:2,se,der,0.4882396874999999
GEN 1:2,movía,wüst,0.33868
GEN 1:2,en,erde,0.33868
GEN 1:2,aire,gottes,0.72568953125
GEN 1:2,sobre,schwebte,0.72278140625
GEN 1:2,superficie,auf,0.5034926953125
GEN 1:2,.,.,0.7380184375000001
GEN 1:3,entonces,und,0.375196484375
GEN 1:3,dios,gott,0.50618875
GEN 1:3,dijo,sprach,0.6957340624999999
GEN 1:3,:,:,0.6898740624999999
GEN 1:3,«,licht,0.356323203125
GEN 1:3,que,werde,0.398640765625
GEN 1:3,haya,werde,0.675308125
GEN 1:3,luz,licht,0.75152921875
GEN 1:3,»,!,0.44363421875
GEN 1:3,;,es,0.63115203125
GEN 1:3,y,und,0.4720071875
GEN 1:3,hubo,ward,0.5804421874999999
GEN 1:3,.,.,0.7922184375000001
GEN 1:4,y,und,0.5470871875000001
GEN 1:4,dios,gott,0.50066875
GEN 1:4,vio,sah,0.7762675
GEN 1:4,que,daß,0.50881475
GEN 1:4,la,das,0.5127054687499999
GEN 1:4,luz,licht,0.70870921875
GEN 1:4,era,gut,0.681037578125
GEN 1:4,buena,gut,0.72477125
GEN 1:4,.,.,0.7299784375
GEN 1:4,luego,da,0.44579796875
GEN 1:4,separó,schied,0.7647075
GEN 1:4,de,der,0.3518129296875
GEN 1:4,oscuridad,finsternis,0.60792359375
GEN 1:5,dios,und,0.4088924609375
GEN 1:5,llamó,nannte,0.620541015625
GEN 1:5,a,nannte,0.7429868749999999
GEN 1:5,la,die,0.5079140625
GEN 1:5,luz,licht,0.69086921875
GEN 1:5,«,licht,0.376663203125
GEN 1:5,día,tag,0.763401875
GEN 1:5,»,nacht,0.3723021484375
GEN 1:5,y,und,0.4753471875
GEN 1:5,oscuridad,finsternis,0.59102359375
GEN 1:5,noche,nacht,0.7213928125
GEN 1:5,.,.,0.7411184375000001
GEN 1:5,pasó,nannte,0.33868
GEN 1:5,tarde,aus,0.7157528125
GEN 1:5,llegó,abend,0.436287421875
GEN 1:5,mañana,morgen,0.582535390625
GEN 1:5,",",und,0.2352763085937499
GEN 1:5,así,morgen,0.7341068749999999
GEN 1:5,se,der,0.5060696874999999
GEN 1:5,cumplió,erste,0.7178043749999999
GEN 1:5,el,der,0.344384921875
GEN 1:5,primer,erste,0.6053145703125
