vref,target,reference
JOB 9:12,"Behold, He snatches away, who brings it back? Who says to Him, What [are] You doing?","Behold, he taketh away, who can hinder him? who will say unto him, What doest thou?"
JOB 9:13,"God does not turn back His anger, || Proud helpers have bowed under Him.","If God will not withdraw his anger, the proud helpers do stoop under him."
JOB 9:14,How much less do I answer Him? Choose out my words with Him?,"How much less shall I answer him, and choose out my words to reason with him?"
JOB 9:15,"Whom, though I were righteous, I do not answer, || For my judgment I make supplication.","Whom, though I were righteous, yet would I not answer, but I would make supplication to my judge."
JOB 9:16,"Though I had called and He answers me, I do not believe that He gives ear [to] my voice.","If I had called, and he had answered me; yet would I not believe that he had hearkened unto my voice."
JOB 9:17,"Because He bruises me with a storm, || And has multiplied my wounds for nothing.","For he breaketh me with a tempest, and multiplieth my wounds without cause."
JOB 9:18,"He does not permit me to refresh my spirit, || But fills me with bitter things.","He will not suffer me to take my breath, but filleth me with bitterness."
JOB 9:19,"If of power, behold, the Strong One; And if of judgment—who convenes me?","If I speak of strength, lo, he is strong: and if of judgment, who shall set me a time to plead?"
JOB 9:20,"If I am righteous, my mouth declares me wicked; [If] I am perfect, it declares me perverse.","If I justify myself, mine own mouth shall condemn me: if I say, I am perfect, it shall also prove me perverse."
JOB 9:21,"I am perfect; I do not know my soul, I despise my life.","Though I were perfect, yet would I not know my soul: I would despise my life."
JOB 9:22,"It is the same thing, therefore I said, || He is consuming the perfect and the wicked.","This is one thing, therefore I said it, He destroyeth the perfect and the wicked."
JOB 9:23,"If a scourge puts to death suddenly, He laughs at the trial of the innocent.","If the scourge slay suddenly, he will laugh at the trial of the innocent."
JOB 9:24,"Earth has been given || Into the hand of the wicked. He covers the faces of her judges, || If not—where, who [is] he?","The earth is given into the hand of the wicked: he covereth the faces of the judges thereof; if not, where, and who is he?"
JOB 9:25,"My days have been swifter than a runner, || They have fled, they have not seen good,","Now my days are swifter than a post: they flee away, they see no good."
JOB 9:26,"They have passed on with ships of reed, || As an eagle darts on food.",They are passed away as the swift ships: as the eagle that hasteth to the prey.
JOB 9:27,"Though I say, I forget my talking, || I forsake my corner, and I brighten up!","If I say, I will forget my complaint, I will leave off my heaviness, and comfort myself:"
JOB 9:28,"I have been afraid of all my griefs, || I have known that You do not acquit me.","I am afraid of all my sorrows, I know that thou wilt not hold me innocent."
JOB 9:29,I become wicked; why [is] this? I labor [in] vain.,"If I be wicked, why then labour I in vain?"
JOB 9:30,"If I have washed myself with snow-water, || And purified my hands with soap,","If I wash myself with snow water, and make my hands never so clean;"
JOB 9:31,"Then You dip me in corruption, || And my garments have detested me.","Yet shalt thou plunge me in the ditch, and mine own clothes shall abhor me."
JOB 9:32,"But if a man like myself—I answer Him, || We come together into judgment.","For he is not a man, as I am, that I should answer him, and we should come together in judgment."
