vref,target,reference
GEN 1:1,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
GEN 1:2,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.","And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters."
GEN 1:3,"And God said, Let there be light: and there was light.","And God said, Let there be light: and there was light."
GEN 1:4,"And God saw the light, that it was good: and God divided the light from the darkness.","And God saw the light, that it was good: and God divided the light from the darkness."
GEN 1:5,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day."
GEN 1:6,"¶ And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","¶ And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
GEN 1:7,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so."
GEN 1:8,And God called the firmament Heaven. And the evening and the morning were the second day.,And God called the firmament Heaven. And the evening and the morning were the second day.
GEN 1:9,"¶ And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","¶ And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so."
GEN 1:10,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.
GEN 1:11,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so."
GEN 1:12,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.","And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good."
GEN 1:13,And the evening and the morning were the third day.,And the evening and the morning were the third day.
