vref,source,target,total_score
GEN 1:1,am,in,0.7462921874999999
GEN 1:1,am,the,0.052716
GEN 1:1,am,beginning,0.33868
GEN 1:1,am,god,0.030182234375
GEN 1:1,am,created,0.33868
GEN 1:1,am,the,0.052716
GEN 1:1,am,heaven,0.33868
GEN 1:1,am,and,0.030182234375
GEN 1:1,am,the,0.052716
GEN 1:1,am,earth,0.13618000000000002
GEN 1:1,am,.,0.030182234375
GEN 1:1,anfang,in,0.2526
GEN 1:1,anfang,the,0.058267147460937495
GEN 1:1,anfang,beginning,0.8043721875
GEN 1:1,anfang,god,0.030182234375
GEN 1:1,anfang,created,0.33868
GEN 1:1,anfang,the,0.058267147460937495
GEN 1:1,anfang,heaven,0.33868
GEN 1:1,anfang,and,0.030182234375
GEN 1:1,anfang,the,0.058267147460937495
GEN 1:1,anfang,earth,0.13618000000000002
GEN 1:1,anfang,.,0.030182234375
GEN 1:1,schuf,in,0.2526
GEN 1:1,schuf,the,0.052716
GEN 1:1,schuf,beginning,0.33868
GEN 1:1,schuf,god,0.030182234375
GEN 1:1,schuf,created,0.7691921875000001
GEN 1:1,schuf,the,0.052716
GEN 1:1,schuf,heaven,0.33868
GEN 1:1,schuf,and,0.030182234375
GEN 1:1,schuf,the,0.052716
GEN 1:1,schuf,earth,0.13618000000000002
GEN 1:1,schuf,.,0.030182234375
GEN 1:1,gott,in,0.057250390625
GEN 1:1,gott,the,0.09595949609375
GEN 1:1,gott,beginning,0.066650390625
GEN 1:1,gott,god,0.5524840624999999
GEN 1:1,gott,created,0.066650390625
GEN 1:1,gott,the,0.09595949609375
GEN 1:1,gott,heaven,0.066650390625
GEN 1:1,gott,and,0.14803953125
GEN 1:1,gott,the,0.09595949609375
GEN 1:1,gott,earth,0.023299999999999998
GEN 1:1,gott,.,0.14803953125
GEN 1:1,himmel,in,0.2526
GEN 1:1,himmel,the,0.052740366378784174
GEN 1:1,himmel,beginning,0.33868
GEN 1:1,himmel,god,0.030182234375
GEN 1:1,himmel,created,0.33868
GEN 1:1,himmel,the,0.052740366378784174
GEN 1:1,himmel,heaven,0.8103121874999999
GEN 1:1,himmel,and,0.030182234375
GEN 1:1,himmel,the,0.052740366378784174
GEN 1:1,himmel,earth,0.13618000000000002
GEN 1:1,himmel,.,0.030182234375
GEN 1:1,und,in,0.011030234374999998
GEN 1:1,und,the,0.22916564453125
GEN 1:1,und,beginning,0.031818234375
GEN 1:1,und,god,0.2855658984375
GEN 1:1,und,created,0.031818234375
GEN 1:1,und,the,0.22916564453125
GEN 1:1,und,heaven,0.031818234375
GEN 1:1,und,and,0.5775363281250001
GEN 1:1,und,the,0.22916564453125
GEN 1:1,und,earth,0.11922046875
GEN 1:1,und,.,0.27602000000000004
GEN 1:1,erde,in,0.09101000000000001
GEN 1:1,erde,the,0.11339999999999999
GEN 1:1,erde,beginning,0.13618000000000002
GEN 1:1,erde,god,0.09128046875
GEN 1:1,erde,created,0.13618000000000002
GEN 1:1,erde,the,0.11339999999999999
GEN 1:1,erde,heaven,0.13618000000000002
GEN 1:1,erde,and,0.09128046875
GEN 1:1,erde,the,0.11339999999999999
GEN 1:1,erde,earth,0.79453875
GEN 1:1,erde,.,0.09128046875
GEN 1:1,.,in,0.011030234374999998
GEN 1:1,.,the,0.22588195312499998
GEN 1:1,.,beginning,0.031818234375
GEN 1:1,.,god,0.27602000000000004
GEN 1:1,.,created,0.031818234375
GEN 1:1,.,the,0.22588195312499998
GEN 1:1,.,heaven,0.031818234375
GEN 1:1,.,and,0.27602000000000004
GEN 1:1,.,the,0.22588195312499998
GEN 1:1,.,earth,0.11922046875
GEN 1:1,.,.,0.72826453125
GEN 1:2,und,and,0.544256328125
GEN 1:2,und,and,0.529796328125
GEN 1:2,und,and,0.514264328125
GEN 1:2,und,the,0.22916564453125
GEN 1:2,und,earth,0.11922046875
GEN 1:2,und,was,0.15405953125
GEN 1:2,und,without,0.2623930291015625
GEN 1:2,und,form,0.266180494921875
GEN 1:2,und,",",0.417978359375
GEN 1:2,und,and,0.544256328125
GEN 1:2,und,and,0.529796328125
GEN 1:2,und,and,0.514264328125
GEN 1:2,und,void,0.26931049492187503
GEN 1:2,und,;,0.26442249492187503
GEN 1:2,und,and,0.544256328125
GEN 1:2,und,and,0.529796328125
GEN 1:2,und,and,0.514264328125
