vref,source,target,total_score
GEN 1:1,in,en,0.49900570312500003
GEN 1:1,in,el,0.036460000000000006
GEN 1:1,in,principio,0.1526
GEN 1:1,in,",",0.1810986328125
GEN 1:1,in,dios,0.07388890625
GEN 1:1,in,creó,0.1526
GEN 1:1,in,los,0.20616078125
GEN 1:1,in,cielos,0.20616078125
GEN 1:1,in,y,0.0005044531249999984
GEN 1:1,in,la,0.094750390625
GEN 1:1,in,tierra,0.14666
GEN 1:1,in,.,0.0005044531249999984
GEN 1:1,the,en,0.08269473876953125
GEN 1:1,the,el,0.43923666015625
GEN 1:1,the,principio,0.0360411953125
GEN 1:1,the,",",0.5408228125
GEN 1:1,the,dios,0.2709209814453125
GEN 1:1,the,creó,0.0360411953125
GEN 1:1,the,los,0.4584465625
GEN 1:1,the,cielos,0.15570890625
GEN 1:1,the,y,0.225900263671875
GEN 1:1,the,la,0.6519614843749999
GEN 1:1,the,tierra,0.23259570312499997
GEN 1:1,the,.,0.22917785156249998
GEN 1:1,beginning,en,0.13618000000000002
GEN 1:1,beginning,el,0.095190390625
GEN 1:1,beginning,principio,0.779153125
GEN 1:1,beginning,",",0.073388
GEN 1:1,beginning,dios,0.018756453125
GEN 1:1,beginning,creó,0.33868
GEN 1:1,beginning,los,0.098770390625
GEN 1:1,beginning,cielos,0.098770390625
GEN 1:1,beginning,y,0.0261651953125
GEN 1:1,beginning,la,0.0360411953125
GEN 1:1,beginning,tierra,0.068372
GEN 1:1,beginning,.,0.0261651953125
GEN 1:1,god,en,0.06842890625
GEN 1:1,god,el,0.124853359375
GEN 1:1,god,principio,0.018756453125
GEN 1:1,god,",",0.1791578125
GEN 1:1,god,dios,0.74442671875
GEN 1:1,god,creó,0.018756453125
GEN 1:1,god,los,0.11923335937499999
GEN 1:1,god,cielos,0.11923335937499999
GEN 1:1,god,y,0.26992671875
GEN 1:1,god,la,0.26794933227539064
GEN 1:1,god,tierra,0.1763578125
GEN 1:1,god,.,0.26992671875
GEN 1:1,created,en,0.13618000000000002
GEN 1:1,created,el,0.095190390625
GEN 1:1,created,principio,0.33868
GEN 1:1,created,",",0.073388
GEN 1:1,created,dios,0.018756453125
GEN 1:1,created,creó,0.765173125
GEN 1:1,created,los,0.098770390625
GEN 1:1,created,cielos,0.098770390625
GEN 1:1,created,y,0.0261651953125
GEN 1:1,created,la,0.0360411953125
GEN 1:1,created,tierra,0.068372
GEN 1:1,created,.,0.0261651953125
GEN 1:1,the,en,0.08269473876953125
GEN 1:1,the,el,0.43923666015625
GEN 1:1,the,principio,0.0360411953125
GEN 1:1,the,",",0.5408228125
GEN 1:1,the,dios,0.2709209814453125
GEN 1:1,the,creó,0.0360411953125
GEN 1:1,the,los,0.4584465625
GEN 1:1,the,cielos,0.15570890625
GEN 1:1,the,y,0.225900263671875
GEN 1:1,the,la,0.6519614843749999
GEN 1:1,the,tierra,0.23259570312499997
GEN 1:1,the,.,0.22917785156249998
GEN 1:1,heaven,en,0.13618000000000002
GEN 1:1,heaven,el,0.095190390625
GEN 1:1,heaven,principio,0.33868
GEN 1:1,heaven,",",0.073388
GEN 1:1,heaven,dios,0.018756453125
GEN 1:1,heaven,creó,0.33868
GEN 1:1,heaven,los,0.098770390625
GEN 1:1,heaven,cielos,0.5218249218750001
GEN 1:1,heaven,y,0.0261651953125
GEN 1:1,heaven,la,0.0360411953125
GEN 1:1,heaven,tierra,0.068372
GEN 1:1,heaven,.,0.0261651953125
GEN 1:1,and,en,0.06842890625
GEN 1:1,and,el,0.124853359375
GEN 1:1,and,principio,0.018756453125
GEN 1:1,and,",",0.17950132598876953
GEN 1:1,and,dios,0.36339923828125
GEN 1:1,and,creó,0.018756453125
GEN 1:1,and,los,0.11923335937499999
GEN 1:1,and,cielos,0.11923335937499999
GEN 1:1,and,y,0.5986284375
GEN 1:1,and,la,0.3065624609375
GEN 1:1,and,tierra,0.1763578125
GEN 1:1,and,.,0.26992671875
GEN 1:1,the,en,0.08269473876953125
GEN 1:1,the,el,0.43923666015625
GEN 1:1,the,principio,0.0360411953125
GEN 1:1,the,",",0.5408228125
GEN 1:1,the,dios,0.2709209814453125
GEN 1:1,the,creó,0.0360411953125
GEN 1:1,the,los,0.4584465625
GEN 1:1,the,cielos,0.15570890625
GEN 1:1,the,y,0.225900263671875
GEN 1:1,the,la,0.6519614843749999
GEN 1:1,the,tierra,0.23259570312499997
GEN 1:1,the,.,0.22917785156249998
GEN 1:1,earth,en,0.33868
GEN 1:1,earth,el,0.20806078125000002
GEN 1:1,earth,principio,0.13618000000000002
GEN 1:1,earth,",",0.15302
GEN 1:1,earth,dios,0.06842890625
GEN 1:1,earth,creó,0.13618000000000002
GEN 1:1,earth,los,0.01856
GEN 1:1,earth,cielos,0.01856
GEN 1:1,earth,y,0.091162390625
GEN 1:1,earth,la,0.080050390625
GEN 1:1,earth,tierra,0.58510046875
GEN 1:1,earth,.,0.091162390625
GEN 1:1,.,en,0.06842890625
GEN 1:1,.,el,0.124853359375
GEN 1:1,.,principio,0.018756453125
GEN 1:1,.,",",0.1791578125
GEN 1:1,.,dios,0.33868
GEN 1:1,.,creó,0.018756453125
GEN 1:1,.,los,0.11923335937499999
GEN 1:1,.,cielos,0.11923335937499999
GEN 1:1,.,y,0.26992671875
GEN 1:1,.,la,0.27002681640625
GEN 1:1,.,tierra,0.1763578125
GEN 1:1,.,.,0.66724765625
GEN 1:2,and,la,0.3657833203125
GEN 1:2,and,tierra,0.1763578125
GEN 1:2,and,no,-0.0027234716796875
GEN 1:2,and,tenía,-0.0034162207031250003
GEN 1:2,and,forma,-0.0027234716796875
GEN 1:2,and,y,0.5548084375
GEN 1:2,and,y,0.5562784375
GEN 1:2,and,y,0.5478924375
GEN 1:2,and,estaba,-0.0027234716796875
GEN 1:2,and,vacía,-0.0027234716796875
GEN 1:2,and,",",0.17950132598876953
GEN 1:2,and,y,0.5548084375
GEN 1:2,and,y,0.5562784375
GEN 1:2,and,y,0.5478924375
GEN 1:2,and,la,0.3657833203125
GEN 1:2,and,oscuridad,0.12145335937499999
GEN 1:2,and,cubría,0.21329855761718747
GEN 1:2,and,las,0.124613359375
GEN 1:2,and,aguas,0.124613359375
GEN 1:2,and,profundas,-0.007975546875
GEN 1:2,and,;,0.106421552734375
GEN 1:2,and,y,0.5548084375
GEN 1:2,and,y,0.5562784375
GEN 1:2,and,y,0.5478924375
GEN 1:2,and,el,0.124853359375
GEN 1:2,and,espíritu,-0.007975546875
GEN 1:2,and,de,0.16479781249999997
GEN 1:2,and,dios,0.36339923828125
GEN 1:2,and,se,0.07460890625000001
GEN 1:2,and,movía,-0.007975546875
GEN 1:2,and,en,0.06842890625
GEN 1:2,and,el,0.124853359375
GEN 1:2,and,aire,-0.007975546875
GEN 1:2,and,sobre,-0.007975546875
GEN 1:2,and,la,0.3657833203125
GEN 1:2,and,superficie,-0.007975546875
GEN 1:2,and,de,0.16479781249999997
GEN 1:2,and,las,0.124613359375
GEN 1:2,and,aguas,0.124613359375
GEN 1:2,and,.,0.26992671875
GEN 1:2,the,la,0.617501484375
GEN 1:2,the,la,0.6005814843749999
GEN 1:2,the,tierra,0.23259570312499997
GEN 1:2,the,no,-0.012814804687499997
GEN 1:2,the,tenía,-0.012814804687499997
GEN 1:2,the,forma,-0.012814804687499997
GEN 1:2,the,y,0.225900263671875
GEN 1:2,the,estaba,-0.012814804687499997
GEN 1:2,the,vacía,-0.012814804687499997
GEN 1:2,the,",",0.5249028124999999
GEN 1:2,the,y,0.225900263671875
GEN 1:2,the,la,0.617501484375
GEN 1:2,the,la,0.6005814843749999
GEN 1:2,the,oscuridad,0.14306000000000002
GEN 1:2,the,cubría,-0.012814804687499997
GEN 1:2,the,las,0.1815164453125
GEN 1:2,the,aguas,0.1788553125
GEN 1:2,the,profundas,-0.010210129394531248
GEN 1:2,the,;,0.022035008544921873
GEN 1:2,the,y,0.225900263671875
GEN 1:2,the,el,0.38810866015624995
GEN 1:2,the,el,0.37831666015625
GEN 1:2,the,espíritu,-0.010210129394531248
GEN 1:2,the,de,0.196474375
GEN 1:2,the,dios,0.2709209814453125
GEN 1:2,the,se,0.43133564062500007
GEN 1:2,the,movía,-0.012814804687499997
GEN 1:2,the,en,0.08269473876953125
GEN 1:2,the,el,0.38810866015624995
GEN 1:2,the,el,0.37831666015625
GEN 1:2,the,aire,-0.012814804687499997
GEN 1:2,the,sobre,-0.01205835021972656
GEN 1:2,the,la,0.617501484375
GEN 1:2,the,la,0.6005814843749999
GEN 1:2,the,superficie,-0.012814804687499997
GEN 1:2,the,de,0.196474375
GEN 1:2,the,las,0.1815164453125
GEN 1:2,the,aguas,0.1788553125
GEN 1:2,the,.,0.22917785156249998
GEN 1:2,earth,la,0.080050390625
GEN 1:2,earth,tierra,0.53610046875
GEN 1:2,earth,no,0.14084
GEN 1:2,earth,tenía,0.14084
GEN 1:2,earth,forma,0.14084
GEN 1:2,earth,y,0.091162390625
GEN 1:2,earth,estaba,0.14084
GEN 1:2,earth,vacía,0.14084
GEN 1:2,earth,",",0.15302
GEN 1:2,earth,y,0.091162390625
GEN 1:2,earth,la,0.080050390625
GEN 1:2,earth,oscuridad,0.046054
GEN 1:2,earth,cubría,0.14084
GEN 1:2,earth,las,0.035632
GEN 1:2,earth,aguas,0.035632
GEN 1:2,earth,profundas,0.14084
GEN 1:2,earth,;,0.032032
GEN 1:2,earth,y,0.091162390625
