source,target,embedding_score
en,am,0.1809
en,anfang,0.1809
en,schuf,0.1809
en,gott,-0.1335
en,himmel,0.1809
en,und,0.1962
en,erde,0.6934
en,.,0.1962
el,am,0.1427
el,anfang,0.1427
el,schuf,0.1427
el,gott,-0.2173
el,himmel,0.1427
el,und,0.2932
el,erde,0.3738
el,.,0.2932
principio,am,0.6934
principio,anfang,0.6934
principio,schuf,0.6934
principio,gott,0.0
principio,himmel,0.6934
principio,und,-0.04086
principio,erde,0.1809
principio,.,-0.04086
",",am,0.11694
",",anfang,0.11694
",",schuf,0.11694
",",gott,-0.1746
",",himmel,0.11694
",",und,0.2386
",",erde,0.2651
",",.,0.2386
dios,am,-0.04904
dios,anfang,-0.04904
dios,schuf,-0.04904
dios,gott,0.1401
dios,himmel,-0.04904
dios,und,0.3801
dios,erde,0.0565
dios,.,0.3801
creó,am,0.6934
creó,anfang,0.6934
creó,schuf,0.6934
creó,gott,0.0
creó,himmel,0.6934
creó,und,-0.04086
creó,erde,0.1809
creó,.,-0.04086
los,am,0.1606
los,anfang,0.1606
los,schuf,0.1606
los,gott,-0.1898
los,himmel,0.1606
los,und,-0.2222
los,erde,-0.1572
los,.,-0.2222
cielos,am,0.1606
cielos,anfang,0.1606
cielos,schuf,0.1606
cielos,gott,-0.1898
cielos,himmel,0.1606
cielos,und,-0.2222
cielos,erde,-0.1572
cielos,.,-0.2222
y,am,-0.0358
y,anfang,-0.0358
y,schuf,-0.0358
y,gott,0.1393
y,himmel,-0.0358
y,und,0.4626
y,erde,0.12256
y,.,0.4626
la,am,0.01358
la,anfang,0.01358
la,schuf,0.01358
la,gott,-0.04187
la,himmel,0.01358
la,und,0.2444
la,erde,0.067
la,.,0.2444
tierra,am,0.09186
tierra,anfang,0.09186
tierra,schuf,0.09186
tierra,gott,-0.2029
tierra,himmel,0.09186
tierra,und,0.03455
tierra,erde,0.2081
tierra,.,0.03455
.,am,-0.0358
.,anfang,-0.0358
.,schuf,-0.0358
.,gott,0.1393
.,himmel,-0.0358
.,und,0.4626
.,erde,0.12256
.,.,0.4626
la,die,0.1073
la,war,-0.06976
la,wüst,-0.2307
la,leer,-0.2307
la,",",-0.06976
la,es,-0.4094
la,finster,-0.2307
la,auf,-0.2307
la,der,0.2153
la,tiefe,-0.2307
la,;,-0.2307
la,geist,-0.2307
la,gottes,-0.2307
la,schwebte,-0.2307
la,dem,-0.2307
la,wasser,-0.2307
tierra,die,-0.02672
tierra,war,-0.2773
tierra,wüst,-0.11694
tierra,leer,-0.11694
tierra,",",-0.2773
tierra,es,-0.2761
tierra,finster,-0.11694
tierra,auf,-0.11694
tierra,der,-0.1381
tierra,tiefe,-0.11694
tierra,;,-0.11694
tierra,geist,-0.11694
tierra,gottes,-0.11694
tierra,schwebte,-0.11694
tierra,dem,-0.11694
tierra,wasser,-0.11694
no,und,-0.002934
no,die,0.2251
no,erde,0.2042
no,war,0.1926
no,wüst,0.6934
no,leer,0.6934
no,",",0.1926
no,es,0.2776
no,finster,0.6934
no,auf,0.6934
no,der,0.082
no,tiefe,0.6934
no,;,0.6934
no,geist,0.6934
no,gottes,0.6934
no,schwebte,0.6934
no,dem,0.6934
no,wasser,0.6934
no,.,-0.002934
tenía,und,-0.002934
tenía,die,0.2251
tenía,erde,0.2042
tenía,war,0.1926
tenía,wüst,0.6934
tenía,leer,0.6934
tenía,",",0.1926
tenía,es,0.2776
tenía,finster,0.6934
tenía,auf,0.6934
tenía,der,0.082
tenía,tiefe,0.6934
tenía,;,0.6934
tenía,geist,0.6934
tenía,gottes,0.6934
tenía,schwebte,0.6934
tenía,dem,0.6934
tenía,wasser,0.6934
tenía,.,-0.002934
