source,target,co-occurrence_count,translation_score
",",",",3,0.0
",",.,7,0.0
",",:,2,0.2059
",",;,3,0.0
",",a,2,0.0
",",aguas,7,0.0
",",aire,1,0.0
",",así,1,0.0
",",buena,1,0.0
",",cielos,2,0.0
",",cubría,1,0.0
",",cumplió,1,0.0
",",de,9,0.0
",",dijo,2,0.0
",",dios,6,0.0
",",día,2,0.0
",",el,3,0.0
",",en,1,0.0
",",entonces,2,0.0
",",entre,1,0.0
",",era,1,0.0
",",ese,1,0.0
",",eso,1,0.0
",",espacio,2,0.0
",",espíritu,1,0.0
",",estaba,1,0.0
",",forma,1,0.0
",",formó,1,0.0
",",fue,1,0.0
",",haya,2,0.0
",",hubo,1,0.0
",",la,12,1.13e-06
",",las,7,0.0
",",llamó,1,0.0
",",llegó,1,0.0
",",lo,1,0.0
",",los,2,0.0
",",luego,1,0.0
",",luz,5,0.0
",",mañana,1,0.0
",",movía,1,0.0
",",no,1,0.0
",",noche,1,0.0
",",oscuridad,3,0.0
",",para,2,0.0
",",pasó,1,0.0
",",primer,1,0.0
",",profundas,1,0.0
",",que,4,0.7217
",",se,2,0.0
",",separar,2,0.0
",",separó,1,0.0
",",sobre,1,0.0
",",sucedió,1,0.0
",",superficie,1,0.0
",",tarde,1,0.0
",",tenía,1,0.0
",",tierra,3,0.0
",",un,1,0.0
",",vacía,1,0.0
",",vio,1,0.0
",",y,9,9.41e-05
",",«,4,0.3481
",",»,4,0.0
.,",",4,0.0
.,.,8,0.7373
.,:,2,0.0
.,;,3,0.07715
.,a,2,0.0
.,aguas,7,0.0
.,aire,1,0.0
.,así,1,0.0
.,buena,1,0.0
.,cielos,3,0.0
.,creó,1,0.0
.,cubría,1,0.0
.,cumplió,1,0.0
.,de,9,0.09106
.,dijo,2,0.0
.,dios,7,0.0
.,día,2,0.0
.,el,4,0.0
.,en,2,0.0
.,entonces,2,0.0
.,entre,1,0.0
.,era,1,0.0
.,ese,1,0.0
.,eso,1,0.0
.,espacio,2,0.0
.,espíritu,1,0.0
.,estaba,1,0.0
.,forma,1,0.0
.,formó,1,0.0
.,fue,1,0.0
.,haya,2,0.0
.,hubo,1,0.0
.,la,13,0.013
.,las,7,0.0
.,llamó,1,0.0
.,llegó,1,0.0
.,lo,1,0.0
.,los,3,0.0
.,luego,1,0.0
.,luz,5,0.0
.,mañana,1,0.0
.,movía,1,0.0
.,no,1,0.0
.,noche,1,0.0
.,oscuridad,3,0.0
.,para,2,0.0
.,pasó,1,0.0
.,primer,1,0.0
.,principio,1,0.0
.,profundas,1,0.0
.,que,4,0.0
.,se,2,0.0
.,separar,2,0.0
.,separó,1,0.0
.,sobre,1,0.0
.,sucedió,1,0.0
.,superficie,1,0.0
.,tarde,1,0.0
.,tenía,1,0.0
.,tierra,4,0.0
