source,target,co-occurrence_count,translation_score
",",",",1,0.0
",",.,4,0.0
",",;,1,0.0
",",abend,1,0.0
",",am,1,0.0
",",anfang,1,0.0
",",auf,2,0.0
",",aus,1,0.0
",",da,1,0.0
",",das,1,0.0
",",dem,1,0.0
",",der,3,0.0
",",die,2,0.0
",",erde,2,0.0
",",erste,1,0.0
",",es,1,0.0
",",finster,1,0.0
",",finsternis,1,0.0
",",geist,1,0.0
",",gott,1,0.0
",",gottes,1,0.0
",",himmel,1,0.0
",",leer,1,0.0
",",licht,1,0.0
",",morgen,1,0.0
",",nacht,1,0.0
",",nannte,1,0.0
",",schuf,1,0.846
",",schwebte,1,0.0
",",tag,2,0.0
",",tiefe,1,0.0
",",und,8,0.071
",",war,2,0.0
",",ward,1,0.0
",",wasser,1,0.0
",",wüst,1,0.0
.,!,1,0.0
.,",",2,0.0
.,.,6,0.917
.,:,1,0.0
.,;,1,0.0
.,abend,1,0.0
.,am,1,0.0
.,anfang,1,0.0
.,auf,2,0.0
.,aus,1,0.0
.,da,2,0.0
.,das,3,0.0
.,daß,1,0.0
.,dem,1,0.0
.,der,4,0.0
.,die,2,0.0
.,erde,2,0.0
.,erste,1,0.0
.,es,3,0.0
.,finster,1,0.0
.,finsternis,2,6e-08
.,geist,1,0.0
.,gott,4,0.0
.,gottes,1,0.0
.,gut,1,0.0
.,himmel,1,0.0
.,leer,1,0.0
.,licht,5,0.0
.,morgen,1,0.0
.,nacht,1,0.0
.,nannte,1,0.0
.,sah,1,0.0
.,schied,1,0.0
.,schuf,1,0.0
.,schwebte,1,0.0
.,sprach,1,0.0
.,tag,2,0.0
.,tiefe,1,0.0
.,und,11,0.0
.,von,1,0.0
.,war,3,0.0
.,ward,2,0.0
.,wasser,1,0.0
.,werde,1,0.0
.,wüst,1,0.0
:,!,1,0.0
:,.,1,0.0
:,:,1,0.872
:,es,2,0.0
:,gott,1,0.0
:,licht,2,0.0
:,sprach,1,0.0
:,und,2,0.0
:,ward,1,0.0
:,werde,1,0.0
;,!,1,0.0
;,",",1,0.0
;,.,2,0.0
;,:,1,0.0
;,;,1,0.0
;,auf,2,0.0
;,dem,1,0.0
;,der,2,0.0
;,die,1,0.0
;,erde,1,0.0
;,es,3,0.91
;,finster,1,0.0
;,geist,1,0.0
;,gott,1,0.0
;,gottes,1,0.0
;,leer,1,0.0
;,licht,2,0.0
;,schwebte,1,0.0
;,sprach,1,0.0
;,tiefe,1,0.0
;,und,6,0.0
;,war,2,0.0
;,ward,1,0.0
;,wasser,1,0.0
;,werde,1,0.0
;,wüst,1,0.0
a,.,2,0.0
a,abend,1,0.0
a,aus,1,0.0
a,da,1,0.0
a,das,1,0.0
a,der,1,0.0
a,die,1,0.0
a,erste,1,0.0
a,finsternis,1,0.0
a,licht,1,0.0
a,morgen,1,0.0
a,nacht,1,0.0
a,nannte,1,0.8027
a,tag,2,0.0
a,und,3,0.0
a,ward,1,0.0
aguas,",",1,0.0
aguas,.,1,0.0
aguas,;,1,0.0
aguas,auf,2,0.1877
aguas,dem,1,0.0
aguas,der,2,0.0
aguas,die,1,0.0
aguas,erde,1,0.0
aguas,es,1,0.0
aguas,finster,1,0.0
aguas,geist,1,0.0
aguas,gottes,1,0.0
aguas,leer,1,0.0
aguas,schwebte,1,0.0
aguas,tiefe,1,0.0
aguas,und,4,0.0
aguas,war,2,0.0
aguas,wasser,1,0.587
aguas,wüst,1,0.0
aire,",",1,0.0
aire,.,1,0.0
aire,;,1,0.0
aire,auf,2,0.0
aire,dem,1,0.0
aire,der,2,0.0
aire,die,1,0.0
aire,erde,1,0.0
aire,es,1,0.0
aire,finster,1,0.0
aire,geist,1,0.0
aire,gottes,1,0.7563
aire,leer,1,0.0
aire,schwebte,1,0.0
aire,tiefe,1,0.0
aire,und,4,0.0
aire,war,2,0.0
aire,wasser,1,0.0
aire,wüst,1,0.0
así,.,2,0.0
así,abend,1,0.0
así,aus,1,0.0
así,da,1,0.0
así,das,1,0.0
así,der,1,0.0
así,die,1,0.0
así,erste,1,0.0
así,finsternis,1,0.0
así,licht,1,0.0
así,morgen,1,0.8027
así,nacht,1,0.0
así,nannte,1,0.0
así,tag,2,0.0
así,und,3,0.0
así,ward,1,0.0
buena,",",1,0.0
buena,.,1,0.0
buena,da,1,0.0
buena,das,2,0.0
buena,daß,1,0.0
buena,der,1,0.0
buena,finsternis,1,0.0
buena,gott,2,0.0
buena,gut,1,0.66
