vref,source,target,total_score
GEN 1:1,am,in,0.7462921874999999
GEN 1:1,anfang,beginning,0.8043721875
GEN 1:1,schuf,created,0.7691921875000001
GEN 1:1,gott,god,0.5524840624999999
GEN 1:1,himmel,heaven,0.8103121874999999
GEN 1:1,und,and,0.5775363281250001
GEN 1:1,erde,earth,0.79453875
GEN 1:1,.,.,0.72826453125
GEN 1:2,und,and,0.544256328125
GEN 1:2,die,and,0.31429984375
GEN 1:2,erde,earth,0.74493875
GEN 1:2,war,was,0.55960171875
GEN 1:2,wüst,without,0.33868
GEN 1:2,leer,without,0.33868
GEN 1:2,",",darkness,0.1959407812499999
GEN 1:2,es,was,0.3816948046875
GEN 1:2,finster,without,0.33868
GEN 1:2,auf,face,0.6252212109374999
GEN 1:2,der,the,0.3583082421875
GEN 1:2,tiefe,without,0.33868
GEN 1:2,;,without,0.33868
GEN 1:2,geist,of,0.3603626953125
GEN 1:2,gottes,moved,0.492976875
GEN 1:2,schwebte,without,0.33868
GEN 1:2,dem,of,0.3723443359375
GEN 1:2,wasser,waters,0.5985833312500001
GEN 1:2,.,.,0.66020453125
GEN 1:3,und,and,0.599596328125
GEN 1:3,gott,god,0.6036640624999999
GEN 1:3,sprach,said,0.6930940624999999
GEN 1:3,:,let,0.6667540625
GEN 1:3,es,there,0.528922125
GEN 1:3,werde,be,0.6717949999999999
GEN 1:3,licht,light,0.767396875
GEN 1:3,!,:,0.53562421875
GEN 1:3,ward,and,0.207283125
GEN 1:3,.,.,0.71196453125
GEN 1:4,und,and,0.5758563281250001
GEN 1:4,gott,god,0.5838240625
GEN 1:4,sah,saw,0.7550353125
GEN 1:4,",",darkness,0.1959407812499999
GEN 1:4,daß,that,0.7240728125
GEN 1:4,das,light,0.496730234375
GEN 1:4,licht,light,0.721836875
GEN 1:4,gut,good,0.620518515625
GEN 1:4,war,was,0.5629017187500001
GEN 1:4,.,.,0.4562934375
GEN 1:4,da,and,0.23581291015625
GEN 1:4,schied,divided,0.6380353125
GEN 1:4,von,from,0.6241433125
GEN 1:4,der,the,0.3675282421875
GEN 1:4,finsternis,darkness,0.61620078125
GEN 1:5,und,and,0.557656328125
GEN 1:5,nannte,called,0.66786078125
GEN 1:5,das,light,0.4771902343749999
GEN 1:5,licht,light,0.730476875
GEN 1:5,tag,day,0.7754784375
GEN 1:5,die,and,0.31143984375
GEN 1:5,finsternis,darkness,0.61820078125
GEN 1:5,nacht,he,0.7444153124999999
GEN 1:5,.,.,0.67508453125
GEN 1:5,da,night,0.49435984375
GEN 1:5,ward,and,0.234443125
GEN 1:5,aus,evening,0.406209296875
GEN 1:5,abend,evening,0.7185215625000001
GEN 1:5,morgen,morning,0.65623703125
GEN 1:5,der,the,0.3622482421875
GEN 1:5,erste,first,0.7422481249999999
