vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.1954,56.16,0.4304,43.28,0.8193,0.2335,54.16,0.6420605749838825,0.3911006815684847
MAT 1:2,0.137,1792.0,0.5044,534.5,0.7744,0.2172,1015.0,0.7214253426278224,0.37247182726115713
MAT 1:3,0.2042,1604.0,0.44,468.5,0.78,0.4646,899.5,0.5421793107943876,0.4447085829991881
MAT 1:4,0.2766,1401.0,0.751,369.2,0.8867,0.4185,801.0,0.5257117174123557,0.5384696273784553
MAT 1:5,0.2433,985.5,0.526,261.2,0.825,0.463,561.0,0.5326272075611955,0.4761699829998209
MAT 1:6,0.25,1204.0,0.538,245.9,0.882,0.263,724.0,0.743558345452223,0.42569821426313104
MAT 1:7,0.2808,1401.0,0.7505,369.2,1.029,0.4329,801.0,0.6469215950686785,0.5462769378418713
MAT 1:8,0.2808,1401.0,0.7505,369.2,1.029,0.5615,801.0,0.3332891856303392,0.6177241123347242
MAT 1:9,0.2808,1401.0,0.7505,369.2,1.029,0.5615,801.0,0.3300297896201306,0.6180739749599722
MAT 1:10,0.2766,1401.0,0.751,369.2,0.8867,0.4185,801.0,0.5227778621016725,0.5381806816292982
MAT 1:11,0.1924,852.5,0.3845,269.8,0.761,0.228,474.8,0.8166474867822934,0.33889133980648684
MAT 1:12,0.1409,1100.0,0.5537,296.2,0.794,0.3628,632.5,0.6886476874000899,0.4174812290214301
MAT 1:13,0.248,1401.0,0.7505,369.2,0.8867,0.466,801.0,0.41029363329022184,0.5552674432718842
MAT 1:14,0.2808,1401.0,0.7505,369.2,1.029,0.5615,801.0,0.3402292167612392,0.6170157398231843
MAT 1:15,0.2808,1402.0,0.7344,369.5,1.029,0.5073,801.0,0.4507897329895965,0.5889433193885311
MAT 1:16,0.2072,917.0,0.378,188.6,0.7007,0.1103,549.5,0.8670834734069124,0.29835393899689994
MAT 1:17,0.1216,725.0,0.486,252.5,0.75,0.2074,419.2,0.7909445371369438,0.34566656479265195
MAT 1:18,0.08563,1040.0,0.292,187.9,0.497,0.1738,588.0,0.7240218660207767,0.2535390634625077
MAT 1:19,0.1207,2025.0,0.337,545.0,0.688,0.2123,1165.0,0.7977815114979439,0.3038352525071048
MAT 1:20,0.0831,651.5,0.3567,177.6,0.7134,0.1827,414.0,0.6684537995573251,0.3186427047568134
MAT 1:21,0.08527,1727.0,0.3958,366.2,0.609,0.1956,993.5,0.66456135786126,0.3113937771396861
MAT 1:22,0.1769,1101.0,0.34,265.0,0.5923,0.1481,647.5,0.7614984495232175,0.28848042270924396
MAT 1:23,0.07996,1384.0,0.4375,322.8,0.6797,0.2507,809.0,0.65682760349557,0.343255700580909
MAT 1:24,0.10144,1255.0,0.319,363.5,0.6553,0.1705,706.5,0.7582786695812249,0.28731014174020225
MAT 1:25,0.10803,2134.0,0.3577,591.5,0.6143,0.2191,1226.0,0.671606467902767,0.31299802759242307
MAT 2:1,0.1407,753.5,0.349,168.1,0.5996,0.1412,462.0,0.7748209156816721,0.2829203503981063
MAT 2:2,0.08734,1443.0,0.3162,458.0,0.679,0.2047,850.5,0.7060092057533605,0.3049468145633703
MAT 2:3,0.1197,2608.0,0.3315,667.5,0.618,0.268,1516.0,0.6855321807737126,0.317672742953596
MAT 2:4,0.0676,677.0,0.391,234.9,0.669,0.1293,375.2,0.6760130312278373,0.3047503420116945
MAT 2:5,0.2096,927.5,0.3362,291.0,0.6577,0.1266,573.0,0.8595152154827185,0.2866293245666836
MAT 2:6,0.06366,1277.0,0.3152,311.2,0.575,0.1968,727.5,0.7427260348788921,0.26782836848575614
MAT 2:7,0.1676,488.8,0.3674,41.84,0.707,0.1729,263.0,0.7783687497021136,0.3203469192099771
MAT 2:8,0.06232,1296.0,0.2583,325.8,0.526,0.1926,757.5,0.7268286482986763,0.25123573494719736
MAT 2:9,0.06476,1163.0,0.3,302.5,0.6123,0.1396,669.0,0.6991617173586826,0.27310174566076945
MAT 2:10,0.157,1442.0,0.3252,304.0,0.7217,0.1833,888.5,0.8034019383077367,0.3070788834875171
MAT 2:11,0.0816,593.0,0.3894,152.8,0.7324,0.163,371.0,0.7088652372688082,0.3175052667678246
MAT 2:12,0.192,1087.0,0.3948,297.8,0.802,0.2063,651.0,0.7440206298206171,0.35676981607335484
MAT 2:13,0.0642,530.0,0.3777,161.9,0.685,0.1682,321.5,0.6922559179363296,0.3077130597891128
MAT 2:14,0.1492,1922.0,0.388,459.2,0.6133,0.2086,1082.0,0.7173798229948884,0.3191060633234685
MAT 2:15,0.0551,1236.0,0.3484,360.5,0.598,0.2456,737.0,0.6033805096215585,0.3116679586977854
MAT 2:16,0.04257,1074.0,0.2207,292.0,0.47,0.2155,609.5,0.7346564488973799,0.23039931172684489
MAT 2:17,0.3604,1840.0,0.2272,281.0,0.617,0.1871,1049.0,0.6586707116582062,0.3345250752658452
MAT 2:18,0.1007,1718.0,0.301,402.2,0.6226,0.2993,1000.5,0.720875578199211,0.3063330438158514
MAT 2:19,0.10834,1069.0,0.3599,233.9,0.627,0.2487,623.0,0.7166381013423794,0.30938677559725536
MAT 2:20,0.1076,1753.0,0.3716,512.0,0.6143,0.2473,1044.0,0.6092768354930566,0.3310178544338342
MAT 2:21,0.171,1984.0,0.4114,612.5,0.6567,0.2306,1123.0,0.6196578431988846,0.35604649209936023
MAT 2:22,0.0829,872.5,0.3484,253.4,0.679,0.2433,507.2,0.65033593276887,0.3247361333232942
MAT 2:23,0.05746,1263.0,0.3706,373.0,0.684,0.2031,763.5,0.7067254436616361,0.3105775828705154
MAT 3:1,0.2578,897.5,0.328,239.0,0.7065,0.1832,513.5,0.7129280767333697,0.3393340348818594
MAT 3:2,0.151,2006.0,0.4526,487.5,0.6025,0.3438,1266.0,0.5165331648356887,0.38435232069620795
MAT 3:3,0.0845,858.5,0.4102,251.0,0.685,0.2257,545.0,0.6335337984369153,0.33911568607111037
MAT 3:4,0.127,1291.0,0.3389,307.2,0.5845,0.2318,745.5,0.8728769149614832,0.27463175831485964
MAT 3:5,0.1282,2120.0,0.358,517.5,0.663,0.305,1202.0,0.588222788505204,0.3565901065661354
MAT 3:6,0.1648,1797.0,0.3665,546.0,0.7603,0.3809,1026.0,0.5955092262551471,0.3950371877863373
MAT 3:7,0.0989,1024.0,0.3757,354.2,0.7607,0.3,618.0,0.6124977815404661,0.3647990865365927
MAT 3:8,0.3882,1812.0,0.4382,373.5,0.8496,0.2461,1090.0,0.7815257239227132,0.41427149736200714
MAT 3:9,0.08875,731.0,0.3586,201.2,0.6826,0.1356,470.5,0.7600156410082131,0.2891603368694272
MAT 3:10,0.1076,463.2,0.352,149.8,0.725,0.2118,262.0,0.7346081954223882,0.32001688386139276
MAT 3:11,0.0543,948.5,0.3396,186.8,0.571,0.1544,579.0,0.7050471010188689,0.27113189332539317
MAT 3:12,0.10144,1656.0,0.4077,439.2,0.6787,0.424,937.0,0.566906043207295,0.3866211104976393
MAT 3:13,0.1793,624.0,0.4138,218.9,0.8203,0.2395,370.2,0.7100253062664634,0.37477711586827467
MAT 3:14,0.08185,1978.0,0.326,621.0,0.652,0.2854,1185.0,0.6403154020842433,0.3242283174890182
MAT 3:15,0.09106,1057.0,0.2786,316.8,0.5923,0.1912,685.0,0.6926985341426911,0.27857498082247334
MAT 3:16,0.09814,1330.0,0.396,401.2,0.695,0.2236,798.5,0.6492520895475462,0.33920846474026084
MAT 3:17,0.1451,1284.0,0.3403,315.0,0.566,0.226,810.5,0.6626173231642168,0.30822193888416716
MAT 4:1,0.2201,1139.0,0.379,253.8,0.718,0.1609,700.5,0.8325433344089712,0.321111379604022
MAT 4:2,0.275,1116.0,0.2961,365.2,0.8086,0.1752,614.0,0.8902875938705647,0.3252609575741729
MAT 4:3,0.0792,1738.0,0.3376,526.0,0.685,0.2225,1064.0,0.696993777231863,0.31249234669059217
MAT 4:4,0.07825,919.0,0.3323,288.5,0.699,0.234,608.5,0.6273216562892778,0.32655059352953125
MAT 4:5,0.1175,1685.0,0.3333,460.5,0.5474,0.2788,941.0,0.5776724893857889,0.3222282886520716
MAT 4:6,0.05328,905.5,0.3765,273.5,0.7617,0.1287,554.0,0.7529982054467241,0.30348631885885274
MAT 4:7,0.0859,1827.0,0.3394,441.8,0.6294,0.2708,1090.0,0.6475182773009712,0.3203978133529087
MAT 4:8,0.1624,1697.0,0.4053,504.2,0.7397,0.2391,995.0,0.5923735541962895,0.37569626749098073
MAT 4:9,0.0556,1527.0,0.4565,644.0,0.691,0.2448,938.5,0.5558930955035511,0.35950720352286303
MAT 4:10,0.1124,1322.0,0.5005,416.8,0.795,0.2018,820.5,0.6740522814506467,0.3721236316365862
MAT 4:11,0.1968,2490.0,0.3843,702.5,0.6562,0.2622,1442.0,0.6471246889429564,0.35769310125933146
MAT 4:12,0.2012,1279.0,0.3777,278.5,0.658,0.1636,774.0,0.7651552241396491,0.31519228728760873
MAT 4:13,0.1294,885.0,0.3394,205.8,0.706,0.2927,548.5,0.6269087700616137,0.350640172509288
MAT 4:14,0.277,1843.0,0.2568,282.8,0.534,0.1995,1052.0,0.6630705460946765,0.3087090913743375
MAT 4:15,0.1302,748.0,0.4695,251.1,0.7026,0.4097,404.0,0.37271366202374645,0.4381286810018849
MAT 4:16,0.124,1811.0,0.3218,523.0,0.6914,0.2654,1058.0,0.6772375413274841,0.33131688473913606
MAT 4:17,0.0978,1721.0,0.39,289.8,0.595,0.2576,1067.0,0.6197908172541666,0.3283518179675244
MAT 4:18,0.07556,1479.0,0.2668,420.2,0.4915,0.259,848.0,0.6760393013876299,0.2699286426323004
MAT 4:19,0.0959,1067.0,0.362,213.1,0.664,0.2004,706.5,0.6145231570415931,0.3259178060242675
