vref,alignment_score,co-occurrence_count,translation_score,alignment_count,avg_aligned,jac_sim,match_counts,encoding_dist,total_score
MAT 1:1,0.0876,215.9,0.4458,142.6,0.5854,0.2947,170.8,0.6347812981261776,0.33884525502577784
MAT 1:2,0.2391,4340.0,0.3333,304.5,0.4832,0.3796,1504.0,0.676712078006899,0.3373152808848015
MAT 1:3,0.1504,1891.0,0.4844,221.9,0.634,0.543,749.5,0.4252046771774627,0.4446204026675247
MAT 1:4,0.3503,2682.0,0.5,191.2,0.702,0.5273,939.0,0.3908605311760029,0.5064917212823044
MAT 1:5,0.1641,1879.0,0.441,134.9,0.618,0.519,657.5,0.3579318665448537,0.44253544666322353
MAT 1:6,0.1641,2258.0,0.431,169.5,0.4888,0.5293,804.0,0.430306642867594,0.4063616169589061
MAT 1:7,0.3503,2682.0,0.571,192.1,0.7295,0.668,939.5,0.3031413912836274,0.5641872654902712
MAT 1:8,0.3503,2680.0,0.585,191.0,0.7734,0.694,938.5,0.27035908905731704,0.584438287215176
MAT 1:9,0.3503,2680.0,0.585,191.0,0.7734,0.694,938.5,0.27035908905731704,0.584438287215176
MAT 1:10,0.3503,2680.0,0.575,191.1,0.726,0.5513,938.5,0.43024677829738295,0.5248105214569844
MAT 1:11,0.0636,3516.0,0.3008,345.2,0.459,0.52,1360.0,0.5466925471774325,0.33454828113835366
MAT 1:12,0.1909,2114.0,0.4417,153.0,0.5327,0.6206,750.0,0.386267555971762,0.44596259677118233
MAT 1:13,0.3503,2682.0,0.587,191.4,0.7734,0.6465,939.0,0.2896267128539267,0.5733474985063144
MAT 1:14,0.3503,2680.0,0.585,191.0,0.7734,0.694,938.5,0.27035908905731704,0.584438287215176
MAT 1:15,0.3503,2684.0,0.51,194.1,0.7627,0.597,941.0,0.3954490565125934,0.5314389491145138
MAT 1:16,0.1127,1960.0,0.2354,203.9,0.4663,0.2844,806.0,0.6866901404471074,0.2698226801630245
MAT 1:17,0.0348,2888.0,0.3743,253.1,0.562,0.4172,1022.0,0.642060814073267,0.3303174282175322
MAT 1:18,0.0753,1533.0,0.1632,258.5,0.4048,0.2173,636.5,0.7288050856553366,0.21472559873157152
MAT 1:19,0.05148,2226.0,0.163,378.0,0.4211,0.2302,933.0,0.7217923409782203,0.21988461629394931
MAT 1:20,0.0537,1178.0,0.2644,229.9,0.451,0.2411,486.8,0.6331502027848952,0.2598024987766194
MAT 1:21,0.1044,2844.0,0.2656,312.0,0.4478,0.2041,1146.0,0.731442693885523,0.24939427345784265
MAT 1:22,0.1387,1771.0,0.1256,205.8,0.2542,0.1843,755.0,0.7277033301794605,0.18314044438940733
MAT 1:23,0.0761,2336.0,0.2405,240.2,0.4165,0.2118,936.5,0.7946467777831866,0.2219692204716747
MAT 1:24,0.1638,1319.0,0.2812,203.6,0.3022,0.2164,756.0,0.7385928465482686,0.23272052824008368
MAT 1:25,0.0671,3684.0,0.159,472.0,0.3938,0.2095,1301.0,0.7922703334269513,0.20013374046210017
MAT 2:1,0.04333,1218.0,0.3467,137.6,0.599,0.2866,474.2,0.6200150802265327,0.31458058801821936
MAT 2:2,0.04715,2808.0,0.1859,327.0,0.3164,0.2324,1033.0,0.6988126462179978,0.20518080875804687
MAT 2:3,0.04868,3844.0,0.2338,536.0,0.388,0.3613,1408.0,0.6240609521608124,0.26515634607527655
MAT 2:5,0.03873,2412.0,0.3313,454.5,0.5312,0.362,987.0,0.533821266089585,0.3253053568396402
MAT 2:6,0.03238,2100.0,0.1891,278.2,0.3535,0.2345,756.5,0.6907950631475714,0.211668345478704
MAT 2:7,0.08936,2192.0,0.309,323.0,0.5024,0.3093,767.0,0.6476319577670849,0.2976474627167764
MAT 2:8,0.0834,1888.0,0.2727,316.8,0.511,0.221,705.0,0.7131621506172343,0.2647748126531751
MAT 2:9,0.03296,1828.0,0.1967,244.5,0.413,0.1664,715.0,0.7407142350186786,0.20533398081414678
MAT 2:10,0.06055,2460.0,0.3184,213.8,0.4797,0.2725,930.0,0.6688339325706678,0.27933179786322043
MAT 2:12,0.0462,2668.0,0.1882,362.8,0.3928,0.2424,956.0,0.7326022083072221,0.21691273669276714
MAT 2:13,0.03674,1734.0,0.262,306.8,0.503,0.2319,672.0,0.6459070261562092,0.2640657564694701
