,vref,source,target,word_score
0,GEN 1:1,in,am,0.9109447440879194
1,GEN 1:1,in,anfang,3.3887619850170754e-44
2,GEN 1:1,in,schuf,3.3887619850170754e-44
3,GEN 1:1,in,gott,3.3887619850170754e-44
4,GEN 1:1,in,himmel,3.3887619850170754e-44
5,GEN 1:1,in,und,3.3887619850170754e-44
6,GEN 1:1,in,erde,3.3887619850170754e-44
7,GEN 1:1,the,am,0.0025948731870579886
8,GEN 1:1,the,anfang,0.00045581297153797826
9,GEN 1:1,the,schuf,3.3661819368257673e-44
10,GEN 1:1,the,gott,0.06404997175922418
11,GEN 1:1,the,himmel,0.0005340689430176316
12,GEN 1:1,the,und,0.14610905196998894
13,GEN 1:1,the,erde,1.3883503167252055e-19
14,GEN 1:1,beginning,am,3.3887619850170754e-44
15,GEN 1:1,beginning,anfang,0.9109447440879194
16,GEN 1:1,beginning,schuf,3.3887619850170754e-44
17,GEN 1:1,beginning,gott,3.3887619850170754e-44
18,GEN 1:1,beginning,himmel,3.3887619850170754e-44
19,GEN 1:1,beginning,und,3.3887619850170754e-44
20,GEN 1:1,beginning,erde,3.3887619850170754e-44
21,GEN 1:1,god,am,2.696010048902261e-44
22,GEN 1:1,god,anfang,2.828980121632878e-44
23,GEN 1:1,god,schuf,9.238474430325982e-41
24,GEN 1:1,god,gott,0.8238995817435532
25,GEN 1:1,god,himmel,2.819010608590727e-44
26,GEN 1:1,god,und,0.06149595236501601
27,GEN 1:1,god,erde,1.222359287002054e-44
28,GEN 1:1,created,am,3.3887619850170754e-44
29,GEN 1:1,created,anfang,3.3887619850170754e-44
30,GEN 1:1,created,schuf,0.9109447440879194
31,GEN 1:1,created,gott,3.3887619850170754e-44
32,GEN 1:1,created,himmel,3.3887619850170754e-44
33,GEN 1:1,created,und,3.3887619850170754e-44
34,GEN 1:1,created,erde,3.3887619850170754e-44
35,GEN 1:1,the,am,0.0025948731870579886
36,GEN 1:1,the,anfang,0.00045581297153797826
37,GEN 1:1,the,schuf,3.3661819368257673e-44
38,GEN 1:1,the,gott,0.06404997175922418
39,GEN 1:1,the,himmel,0.0005340689430176316
40,GEN 1:1,the,und,0.14610905196998894
41,GEN 1:1,the,erde,1.3883503167252055e-19
42,GEN 1:1,heaven,am,3.3887619850170754e-44
43,GEN 1:1,heaven,anfang,3.3887619850170754e-44
44,GEN 1:1,heaven,schuf,3.3887619850170754e-44
45,GEN 1:1,heaven,gott,3.3887619850170754e-44
46,GEN 1:1,heaven,himmel,0.9109447440879194
47,GEN 1:1,heaven,und,3.3887619850170754e-44
48,GEN 1:1,heaven,erde,3.3887619850170754e-44
49,GEN 1:1,and,am,2.696010048902261e-44
50,GEN 1:1,and,anfang,2.828980121632878e-44
51,GEN 1:1,and,schuf,3.3347055053981686e-44
52,GEN 1:1,and,gott,0.0005808268161470141
53,GEN 1:1,and,himmel,2.819010608590727e-44
54,GEN 1:1,and,und,0.46856703561196517
55,GEN 1:1,and,erde,1.222359287002054e-44
56,GEN 1:1,the,am,0.0025948731870579886
57,GEN 1:1,the,anfang,0.00045581297153797826
58,GEN 1:1,the,schuf,3.3661819368257673e-44
59,GEN 1:1,the,gott,0.06404997175922418
60,GEN 1:1,the,himmel,0.0005340689430176316
61,GEN 1:1,the,und,0.14610905196998894
62,GEN 1:1,the,erde,1.3883503167252055e-19
63,GEN 1:1,earth,am,2.696010048902261e-44
64,GEN 1:1,earth,anfang,2.828980121632878e-44
65,GEN 1:1,earth,schuf,3.3347055053981686e-44
66,GEN 1:1,earth,gott,1.2248831178135886e-44
67,GEN 1:1,earth,himmel,2.819010608590727e-44
68,GEN 1:1,earth,und,1.2248831178135886e-44
69,GEN 1:1,earth,erde,0.8862171549333484
70,GEN 1:2,and,und,0.46856703561196517
71,GEN 1:2,and,die,0.5938438995168998
72,GEN 1:2,and,erde,1.222359287002054e-44
73,GEN 1:2,and,war,0.007815642366957311
74,GEN 1:2,and,wüst,0.041087226241759145
75,GEN 1:2,and,und,0.46856703561196517
76,GEN 1:2,and,leer,0.041087226241759145
77,GEN 1:2,and,und,0.46856703561196517
78,GEN 1:2,and,es,0.0030129645659542933
79,GEN 1:2,and,war,0.007815642366957311
80,GEN 1:2,and,finster,1.54658685774318e-41
81,GEN 1:2,and,auf,3.5240180370426096e-45
82,GEN 1:2,and,der,3.281363220917859e-45
83,GEN 1:2,and,tiefe,1.5465797087194255e-41
84,GEN 1:2,and,und,0.46856703561196517
85,GEN 1:2,and,der,3.281363220917859e-45
