,vref,source,target,alignment_count,verse_score,alignment_score
0,GEN 1:1,am,in,1,0.7297867766812745,0.5955611471805253
1,GEN 1:1,anfang,beginning,1,0.7297867766812745,0.4891198327032574
2,GEN 1:1,schuf,created,1,0.7297867766812745,0.30671160350462395
3,GEN 1:1,gott,god,1,0.7297867766812745,0.1436182043076006
4,GEN 1:1,himmel,heaven,1,0.7297867766812745,0.48156193354688503
5,GEN 1:1,und,and,1,0.7297867766812745,0.3536457522329397
6,GEN 1:1,und,the,1,0.7297867766812745,0.4177575072357392
7,GEN 1:1,erde,earth,1,0.7297867766812745,0.6683684138896381
8,GEN 1:2,und,and,1,0.3008168157456927,0.27398270954712123
9,GEN 1:2,die,and,1,0.3008168157456927,0.18639058022631022
10,GEN 1:2,erde,earth,1,0.3008168157456927,0.166217701991439
11,GEN 1:2,war,was,1,0.3008168157456927,0.1398074673007098
12,GEN 1:2,wüst,and,1,0.3008168157456927,0.1784133230867349
13,GEN 1:2,und,without,1,0.3008168157456927,0.08817499257871225
14,GEN 1:2,und,form,1,0.3008168157456927,0.10912518529768794
15,GEN 1:2,und,void,1,0.3008168157456927,0.19939048239390833
16,GEN 1:2,leer,and,1,0.3008168157456927,0.18783224312115956
17,GEN 1:2,und,darkness,1,0.3008168157456927,0.16338402657497453
18,GEN 1:2,es,was,1,0.3008168157456927,0.1395539285228037
19,GEN 1:2,war,was,1,0.3008168157456927,0.09219702021411912
20,GEN 1:2,finster,the,1,0.3008168157456927,0.10745931907192631
21,GEN 1:2,auf,upon,1,0.3008168157456927,0.0602185373589132
22,GEN 1:2,auf,face,1,0.3008168157456927,0.0995662176674995
23,GEN 1:2,auf,of,1,0.3008168157456927,0.14262263506019093
24,GEN 1:2,der,the,1,0.3008168157456927,0.12341195818949406
25,GEN 1:2,der,deep,1,0.3008168157456927,0.19297544912471423
26,GEN 1:2,tiefe,the,1,0.3008168157456927,0.16306230237280625
27,GEN 1:2,und,and,1,0.3008168157456927,0.10126269189733593
28,GEN 1:2,der,spirit,1,0.3008168157456927,0.12668355559030445
29,GEN 1:2,geist,moved,1,0.3008168157456927,0.16249983790851766
30,GEN 1:2,gottes,the,1,0.3008168157456927,0.12990979361385216
31,GEN 1:2,schwebte,the,1,0.3008168157456927,0.21332522404759255
32,GEN 1:2,auf,upon,1,0.3008168157456927,0.09574738846767955
33,GEN 1:2,auf,face,1,0.3008168157456927,0.20054721698709416
34,GEN 1:2,auf,of,1,0.3008168157456927,0.17752848756259837
35,GEN 1:2,dem,of,1,0.3008168157456927,0.19561983366807895
36,GEN 1:2,wasser,waters,1,0.3008168157456927,0.33164095178421515
37,GEN 1:3,und,and,1,0.6161210613185989,0.5887380889850364
38,GEN 1:3,gott,god,1,0.6161210613185989,0.45545964155454727
39,GEN 1:3,sprach,said,1,0.6161210613185989,0.39932413840534897
40,GEN 1:3,sprach,let,1,0.6161210613185989,0.24922466963894604
41,GEN 1:3,es,there,1,0.6161210613185989,0.2825366064360596
42,GEN 1:3,werde,be,1,0.6161210613185989,0.3190218179459547
43,GEN 1:3,licht,light,1,0.6161210613185989,0.3564869313522489
44,GEN 1:3,und,and,1,0.6161210613185989,0.39436405841992034
45,GEN 1:3,es,there,1,0.6161210613185989,0.4350719247375337
46,GEN 1:3,es,was,1,0.6161210613185989,0.17895760845324996
47,GEN 1:3,ward,and,1,0.6161210613185989,0.10111527476616404
48,GEN 1:3,licht,light,1,0.6161210613185989,0.6368939161427005
49,GEN 1:4,und,and,1,0.607813186821116,0.46898139208245765
50,GEN 1:4,gott,god,1,0.607813186821116,0.3644526420129598
51,GEN 1:4,sah,saw,1,0.607813186821116,0.32306720432393976
52,GEN 1:4,daß,saw,1,0.607813186821116,0.14785876141382145
53,GEN 1:4,das,light,1,0.607813186821116,0.28387787130795544
54,GEN 1:4,das,that,1,0.607813186821116,0.2132730395362753
55,GEN 1:4,licht,light,1,0.607813186821116,0.12624436143475423
56,GEN 1:4,gut,it,1,0.607813186821116,0.2578272590114957
57,GEN 1:4,war,was,1,0.607813186821116,0.2458336911515129
58,GEN 1:4,da,good,1,0.607813186821116,0.2341323532891294
59,GEN 1:4,da,and,1,0.607813186821116,0.2575490530662607
60,GEN 1:4,schied,divided,1,0.607813186821116,0.12572087531008785
61,GEN 1:4,gott,god,1,0.607813186821116,0.21184072605165927
62,GEN 1:4,das,divided,1,0.607813186821116,0.201855282757145
63,GEN 1:4,licht,light,1,0.607813186821116,0.31195251394018564
64,GEN 1:4,von,from,1,0.607813186821116,0.3355334194613314
65,GEN 1:4,der,the,1,0.607813186821116,0.3788892847754799
66,GEN 1:4,finsternis,darkness,1,0.607813186821116,0.49086054420361136
67,GEN 1:5,und,and,1,0.4653693328642907,0.35130344298398875
68,GEN 1:5,und,god,1,0.4653693328642907,0.2532244556592976
69,GEN 1:5,nannte,called,1,0.4653693328642907,0.23555046421520268
70,GEN 1:5,das,light,1,0.4653693328642907,0.1351527737643697
71,GEN 1:5,licht,light,1,0.4653693328642907,0.2605178213592839
72,GEN 1:5,tag,day,1,0.4653693328642907,0.2555267636053212
73,GEN 1:5,und,and,1,0.4653693328642907,0.22690421085523574
74,GEN 1:5,die,and,1,0.4653693328642907,0.11900713830268447
75,GEN 1:5,finsternis,darkness,1,0.4653693328642907,0.17199877278503414
76,GEN 1:5,finsternis,he,1,0.4653693328642907,0.23861739937828416
77,GEN 1:5,nacht,called,1,0.4653693328642907,0.2638890057857327
78,GEN 1:5,da,night,1,0.4653693328642907,0.2384481629824275
79,GEN 1:5,da,and,1,0.4653693328642907,0.17187678481402388
80,GEN 1:5,ward,and,1,0.4653693328642907,0.21208893678612933
81,GEN 1:5,aus,the,1,0.4653693328642907,0.18570833274761608
82,GEN 1:5,aus,evening,1,0.4653693328642907,0.2260150957132183
83,GEN 1:5,abend,the,1,0.4653693328642907,0.1406139325030205
84,GEN 1:5,und,and,1,0.4653693328642907,0.14210926714376415
85,GEN 1:5,morgen,the,1,0.4653693328642907,0.13031320625825887
86,GEN 1:5,morgen,morning,1,0.4653693328642907,0.23491275504179143
87,GEN 1:5,morgen,were,1,0.4653693328642907,0.1930192137931999
88,GEN 1:5,der,the,1,0.4653693328642907,0.23197633720295147
89,GEN 1:5,erste,first,1,0.4653693328642907,0.28989677903775607
90,GEN 1:5,tag,day,1,0.4653693328642907,0.4096491497424577
