,source,target,co-occurrence_count,translation_score
0,abend,and,4,3.2097216484005193e-41
1,abend,called,2,3.2097216484005193e-41
2,abend,darkness,1,3.2097216484005193e-41
3,abend,day,2,3.2097216484005193e-41
4,abend,evening,1,4.182222972309775e-16
5,abend,first,1,3.2097216484005193e-41
6,abend,god,1,3.2097216484005193e-41
7,abend,he,1,3.2097216484005193e-41
8,abend,light,1,3.2097216484005193e-41
9,abend,morning,1,3.2097216484005193e-41
10,abend,night,1,3.2097216484005193e-41
11,abend,the,5,0.04574617476024338
12,abend,were,1,3.2097216484005193e-41
13,am,and,1,2.696010048902261e-44
14,am,beginning,1,3.3887619850170754e-44
15,am,created,1,3.3887619850170754e-44
16,am,earth,1,2.696010048902261e-44
17,am,god,1,2.696010048902261e-44
18,am,heaven,1,3.3887619850170754e-44
19,am,in,1,0.9109447440879194
20,am,the,3,0.0025948731870579886
21,anfang,and,1,2.828980121632878e-44
22,anfang,beginning,1,0.9109447440879194
23,anfang,created,1,3.3887619850170754e-44
24,anfang,earth,1,2.828980121632878e-44
25,anfang,god,1,2.828980121632878e-44
26,anfang,heaven,1,3.3887619850170754e-44
27,anfang,in,1,3.3887619850170754e-44
28,anfang,the,3,0.00045581297153797826
29,auf,and,8,3.5240180370426096e-45
30,auf,darkness,2,1.140359289417608e-44
31,auf,deep,2,1.54658685774318e-41
32,auf,earth,2,1.2248831178135886e-44
33,auf,face,4,0.31469046950234386
34,auf,form,2,1.54658685774318e-41
35,auf,god,2,4.967283679763376e-45
36,auf,moved,2,1.54658685774318e-41
37,auf,of,6,0.3608695435970642
38,auf,spirit,2,1.54658685774318e-41
39,auf,the,12,0.0012653378537037046
40,auf,upon,4,0.17462546862067302
41,auf,void,2,1.54658685774318e-41
42,auf,was,4,6.054029172683512e-45
43,auf,waters,2,2.9856139740007055e-44
44,auf,without,2,1.54658685774318e-41
45,aus,and,4,3.1692328593453443e-44
46,aus,called,2,3.1692328593453443e-44
47,aus,darkness,1,3.1692328593453443e-44
48,aus,day,2,3.1692328593453443e-44
49,aus,evening,1,0.8330326930521595
50,aus,first,1,3.1692328593453443e-44
51,aus,god,1,3.1692328593453443e-44
52,aus,he,1,2.3775972047277766e-41
53,aus,light,1,3.1692328593453443e-44
54,aus,morning,1,2.3775972047277766e-41
55,aus,night,1,2.3775972047277766e-41
56,aus,the,5,0.04574619240993952
57,aus,were,1,2.3775972047277766e-41
