,source,target,alignment_count,verse_score,alignment_score
0,abend,the,1,0.4653693328642907,0.1406139325030205
1,am,in,1,0.7297867766812745,0.5955611471805253
2,anfang,beginning,1,0.7297867766812745,0.4891198327032574
3,auf,face,2,0.3008168157456927,0.15005671732729683
4,auf,of,2,0.3008168157456927,0.16007556131139467
5,auf,upon,2,0.3008168157456927,0.07798296291329637
6,aus,evening,1,0.4653693328642907,0.2260150957132183
7,aus,the,1,0.4653693328642907,0.18570833274761608
8,da,and,2,0.5365912598427034,0.21471291894014227
9,da,good,1,0.607813186821116,0.2341323532891294
10,da,night,1,0.4653693328642907,0.2384481629824275
11,das,divided,1,0.607813186821116,0.201855282757145
12,das,light,2,0.5365912598427034,0.20951532253616256
13,das,that,1,0.607813186821116,0.2132730395362753
14,daß,saw,1,0.607813186821116,0.14785876141382145
15,dem,of,1,0.3008168157456927,0.19561983366807895
16,der,deep,1,0.3008168157456927,0.19297544912471423
17,der,spirit,1,0.3008168157456927,0.12668355559030445
18,der,the,3,0.4579997784770331,0.2447591933893085
19,die,and,2,0.38309307430499173,0.15269885926449733
20,erde,earth,2,0.5153017962134836,0.41729305794053856
21,erste,first,1,0.4653693328642907,0.28989677903775607
22,es,there,2,0.6161210613185989,0.3588042655867967
23,es,was,2,0.45846893853214576,0.15925576848802683
24,finster,the,1,0.3008168157456927,0.10745931907192631
25,finsternis,darkness,2,0.5365912598427034,0.33142965849432277
26,finsternis,he,1,0.4653693328642907,0.23861739937828416
27,geist,moved,1,0.3008168157456927,0.16249983790851766
28,gott,god,4,0.6403835529105263,0.29384280348169173
29,gottes,the,1,0.3008168157456927,0.12990979361385216
30,gut,it,1,0.607813186821116,0.2578272590114957
31,himmel,heaven,1,0.7297867766812745,0.48156193354688503
32,leer,and,1,0.3008168157456927,0.18783224312115956
33,licht,light,5,0.5826475658287441,0.3384191088458347
34,morgen,morning,1,0.4653693328642907,0.23491275504179143
35,morgen,the,1,0.4653693328642907,0.13031320625825887
36,morgen,were,1,0.4653693328642907,0.1930192137931999
37,nacht,called,1,0.4653693328642907,0.2638890057857327
38,nannte,called,1,0.4653693328642907,0.23555046421520268
39,sah,saw,1,0.607813186821116,0.32306720432393976
40,schied,divided,1,0.607813186821116,0.12572087531008785
41,schuf,created,1,0.7297867766812745,0.30671160350462395
42,schwebte,the,1,0.3008168157456927,0.21332522404759255
43,sprach,let,1,0.6161210613185989,0.24922466963894604
44,sprach,said,1,0.6161210613185989,0.39932413840534897
45,tag,day,2,0.4653693328642907,0.33258795667388946
46,tiefe,the,1,0.3008168157456927,0.16306230237280625
47,und,and,9,0.5075093018026495,0.32236573490531106
48,und,darkness,1,0.3008168157456927,0.16338402657497453
49,und,form,1,0.3008168157456927,0.10912518529768794
50,und,god,1,0.4653693328642907,0.2532244556592976
51,und,the,1,0.7297867766812745,0.4177575072357392
52,und,void,1,0.3008168157456927,0.19939048239390833
53,und,without,1,0.3008168157456927,0.08817499257871225
54,von,from,1,0.607813186821116,0.3355334194613314
55,war,was,3,0.40314893943750046,0.1592793928887806
56,ward,and,2,0.5407451970914448,0.1566021057761467
57,wasser,waters,1,0.3008168157456927,0.33164095178421515
58,werde,be,1,0.6161210613185989,0.3190218179459547
59,wüst,and,1,0.3008168157456927,0.1784133230867349
