,source,target,alignment_count,Unnamed: 0,vref,verse_score,alignment_score
0,a,a,3,2625.3333333333335,274.0,0.39310139852572573,0.27230526804047617
1,a,am,8,3452.125,357.625,0.44867198445186224,0.44407790230800226
2,a,at,73,4918.534246575343,507.0821917808219,0.48971243630194783,0.19195896047666944
3,a,call,7,5590.428571428572,574.7142857142857,0.4403679862090769,0.28123102435972186
4,a,for,67,4739.701492537313,488.02985074626866,0.5326895132809413,0.15098326445858057
5,a,leaving,16,4581.3125,472.8125,0.5035469135385747,0.1975523179298086
6,a,me,5,7097.8,723.8,0.40545609091210666,0.24028009182495708
7,a,move,1,8956.0,915.0,0.2599456307326383,0.3328574029079885
8,a,of,6,4220.166666666667,435.1666666666667,0.5517594991683556,0.1037028439686092
9,a,to,86,5100.872093023256,525.0581395348837,0.482315804714196,0.21381615341313664
10,a,tomorrow,1,3680.0,383.0,0.5953298785716995,0.232088841095766
11,a,up,68,4914.073529411765,505.7647058823529,0.48509703386143277,0.20307820904657004
12,a,us,3,5361.0,553.3333333333334,0.37373730966898216,0.2743199712892976
13,a,wake,2,3276.5,341.5,0.3913697477467971,0.22174946483677704
14,a,what,1,730.0,77.0,0.4488326771531932,0.6855758030036263
15,abril,april,2,5984.0,613.0,0.5529028168192391,0.0801070663576399
16,abril,nineteenth,2,2818.0,295.5,0.5272484563040467,0.20475732195183743
17,abril,ninth,1,1822.0,193.0,0.5449284065389083,0.2463757949820191
18,acepta,do,1,112.0,10.0,0.6446952905096348,0.6855758030036263
19,aceptan,do,3,3827.6666666666665,392.0,0.6056575149256288,0.6655771758032317
20,aceptaría,would,1,8302.0,844.0,0.6446925089552652,0.6855758030036263
21,aceptarían,would,1,8543.0,871.0,0.7115006165202482,0.6255799214024426
22,acondicionado,air,6,4380.0,453.8333333333333,0.48304663180924173,0.22505873557922976
23,acondicionado,conditioning,26,4585.692307692308,472.34615384615387,0.5496845885070577,0.20853804424176378
24,acuerdo,agree,1,3331.0,352.0,0.5739123882979489,0.6855758030036263
25,adiós,bye,2,7174.0,737.0,0.7174662218172478,0.92
26,adiós,good,2,7173.0,737.0,0.7174662218172478,0.92
27,agua,hot,5,5704.0,585.2,0.4986072989348881,0.15188338208289012
28,agua,water,2,5665.5,581.5,0.4717168245107808,0.3215395397595589
29,aire,air,26,4584.461538461538,472.34615384615387,0.5496845885070577,0.18682295327973644
30,al,in,6,5866.0,601.8333333333334,0.4854841639467726,0.25214386691567203
31,al,on,4,4647.75,480.5,0.530450906040041,0.2403390326243953
32,al,the,25,4717.2,486.8,0.5025854394254794,0.3212185164795878
33,alguna,a,32,4835.84375,498.15625,0.5275171304598143,0.2604172785636819
34,alguna,do,1,639.0,68.0,0.4682870749006134,0.1992444809291988
35,alguna,have,5,5473.6,563.0,0.48868176384710205,0.40545694000760985
36,alguna,look,3,4904.333333333333,504.3333333333333,0.509520863075819,0.1131268242027635
37,alguna,see,11,4580.636363636364,471.72727272727275,0.5402383638529362,0.304165442774191
38,alguna,showing,2,7731.0,795.5,0.5460403954472417,0.2092277151697322
39,alguna,there,4,5076.0,521.25,0.5672101683359013,0.3850446655094455
40,alicia,alicia,1,4173.0,429.0,0.4334607375482473,0.1614573921307837
41,amelia,amelia,1,1855.0,196.0,0.5710602963410472,0.3345414344324608
42,andrés,andrés,1,9367.0,958.0,0.5947228103572771,0.2004997464101676
43,anotados,are,1,6742.0,689.0,0.4687671122695825,0.3361502172793518
44,anotados,extras,2,6126.5,630.0,0.5720608923606652,0.3927439624290296
45,apuntada,is,1,4998.0,518.0,0.4794967660014412,0.2929397192777665
46,apuntada,the,1,4999.0,518.0,0.4794967660014412,0.4203657473310975
47,apuntado,included,1,2386.0,255.0,0.5276478308507296,0.7722309926557829
48,apuntado,phone,1,2747.0,290.0,0.3666803725972824,0.3848864690678436
49,apuntado,the,4,1246.0,133.0,0.354300184024706,0.41816029175466374
50,apuntados,are,2,6430.0,660.0,0.41922698878381287,0.4250709979031142
51,apuntados,expenses,2,1436.5,152.5,0.46328764711628356,0.2806521552528076
52,apuntados,extras,1,6345.0,652.0,0.3113464186599352,0.4250709979031143
53,arnau,arnau,1,1726.0,183.0,0.5585485918132007,0.2654228183968501
54,arturo,arturo,1,8108.0,825.0,0.4964421509435681,0.177035018155469
55,aseo,bath,2,9345.0,956.5,0.5298891548386488,0.1265115705784843
56,asunción,asunción,1,2151.0,229.0,0.5372970594464906,0.1696918428034296
57,autobús,bus,10,4188.8,433.2,0.5302487630096053,0.47028824516911777
58,baja,send,1,6532.0,670.0,0.4014816103831078,0.2154700520879299
59,bajar,down,10,3578.2,373.5,0.5281392424258509,0.13703355646511492
60,bajar,send,8,4045.5,420.875,0.5187826720602681,0.26658627681989144
61,bajarme,down,1,3121.0,327.0,0.5687546901040941,0.2171572968042717
62,bajarnos,down,1,2304.0,247.0,0.3569414407709013,0.2179305124335845
63,bajase,send,1,8424.0,858.0,0.2564517089636811,0.206752571779741
64,bajasen,to,1,1387.0,151.0,0.4039540978536994,0.1966800124759785
65,baje,send,2,8150.0,832.0,0.5009889634968088,0.35216249743980277
66,bajen,down,2,5267.5,542.5,0.4024029981447415,0.20573645592296314
67,bajen,send,2,5266.5,542.5,0.4024029981447415,0.2423015998563987
68,balaguer,balaguer,1,5884.0,606.0,0.4755207357077311,0.1441328801261934
69,balaguer,jorge,1,5883.0,606.0,0.4755207357077311,0.184673498580189
70,bar,minibar,4,3781.0,389.5,0.48835077019239737,0.23857990796707418
71,barberá,barberá,1,4688.0,487.0,0.6355692018417857,0.4546102418371529
72,baño,a,2,8963.0,915.5,0.48196873515840066,0.24888856974304163
73,baño,bath,11,5521.727272727273,568.6363636363636,0.5674978520507526,0.13208574925887756
74,baño,bathroom,7,5577.142857142857,572.0,0.46524791959342526,0.13242648859639727
75,berrueco,berrueco,1,4403.0,454.0,0.4941318993757545,0.1449619230714157
76,betoret,betoret,1,4027.0,415.0,0.5744783985169469,0.2401708595298071
77,bien,all,4,3388.25,352.75,0.7616542726941837,0.2419486659459405
78,bien,right,4,3389.25,352.75,0.7616542726941837,0.6255799214024425
79,bolsa,bag,6,5014.166666666667,519.1666666666666,0.5161171253194202,0.13680050681057312
80,bolsa,send,1,5486.0,569.0,0.4881396323899367,0.1614350646325218
81,bolsas,bags,25,5073.96,522.12,0.4837236325215353,0.22332000295211238
82,bolsas,my,1,523.0,57.0,0.4734954882838424,0.1920793809014448
83,bolsas,to,4,4706.75,485.25,0.4808852787194211,0.3003371632793939
84,borillo,borillo,1,5716.0,592.0,0.5856522775417016,0.2521725129716044
85,borrás,borrás,1,6271.0,644.0,0.6370620969170973,0.4979006294169255
86,botella,botella,1,8316.0,845.0,0.545331204517998,0.3865179716627847
87,buena,good,11,5322.181818181818,547.3636363636364,0.5249040785588082,0.11219737803791326
88,buena,view,3,5910.0,605.0,0.5203245117095102,0.18047923375636485
89,buenos,good,1,9285.0,951.0,0.5176123938256674,0.8625343344626359
90,bultos,luggage,18,4863.611111111111,501.8888888888889,0.4337445230311168,0.18990703564124906
91,bultos,my,3,4051.6666666666665,415.3333333333333,0.356895360893057,0.19423230882527628
92,bultos,our,2,1921.0,206.0,0.34542754210783005,0.1170083638901851
93,bultos,send,1,8428.0,858.0,0.2564517089636811,0.1093243973344308
