,source,target,co-occurrence_count,Unnamed: 0,vref,translation_score
0,a,a,268,43059.76119402985,531.0335820895523,0.1170542076989049
1,a,afternoon,13,43983.38461538462,544.7692307692307,1.3412327237881148e-45
2,a,air,1,30854.0,388.0,6.9243695152777865e-46
3,a,alicia,1,34661.0,429.0,1.217258596874441e-44
4,a,am,21,32696.14285714286,407.0,0.3083423346891826
5,a,amelia,1,14833.0,196.0,3.1974913172225485e-44
6,a,and,34,38336.0,473.8529411764706,0.0579734581805244
7,a,andrés,1,78892.0,958.0,2.908215550470983e-44
8,a,april,5,42619.2,527.8,3.427365819411988e-45
9,a,are,22,38970.86363636364,484.54545454545456,0.0631383365676488
10,a,arnau,1,13679.0,183.0,3.0670550824489854e-44
11,a,arturo,2,67847.5,825.0,2.8345755051094854e-44
12,a,asunción,1,17274.0,229.0,2.834575312394031e-44
13,a,at,137,40359.00729927007,499.94890510948903,0.4211820863767374
14,a,bag,6,41672.666666666664,519.1666666666666,0.015588429051881398
15,a,bags,13,45316.692307692305,557.2307692307693,0.0049523039966525
16,a,balaguer,1,48990.0,606.0,1.3481345731064085e-42
17,a,barberá,1,38904.0,487.0,3.2904817954559704e-44
18,a,bath,11,48471.818181818184,597.3636363636364,0.0068094574664219
19,a,bathroom,6,52515.5,641.0,1.29656791281698e-45
20,a,berrueco,1,36637.0,454.0,2.7644340848454785e-44
21,a,betoret,1,33470.0,415.0,2.98561390540376e-44
22,a,booked,36,40909.47222222222,505.44444444444446,1.4410026027277042e-13
23,a,borillo,1,47258.0,592.0,2.98561390540376e-44
24,a,borrás,1,52286.0,644.0,3.338933941196098e-44
25,a,botella,1,69816.0,845.0,3.243351392706311e-44
26,a,cabedo,3,35108.333333333336,430.3333333333333,7.651141543851853e-45
27,a,cabo,1,54841.0,672.0,3.0258102895764e-44
28,a,calatayud,1,1766.0,23.0,3.338933941196098e-44
29,a,call,25,46123.96,567.04,0.1472049174627153
30,a,calleja,1,61388.0,744.0,2.9464278186143823e-44
31,a,can,29,39779.275862068964,495.1034482758621,2.5483573428969107e-46
32,a,cantero,1,3362.0,44.0,2.9464278186143823e-44
33,a,carmelo,1,15667.0,203.0,2.908215550470983e-44
34,a,carpio,1,50914.0,629.0,3.197491242391738e-44
35,a,celestino,1,39310.0,492.0,3.0670550824489854e-44
36,a,colomer,2,73883.0,898.5,1.2093755762856474e-44
37,a,conditioning,1,30855.0,388.0,9.083642174738252e-46
38,a,cornelles,2,52024.0,640.0,1.2461789613748664e-44
39,a,could,52,39741.25,491.4423076923077,1.521429008616852e-46
40,a,date,1,5977.0,77.0,1.6127706311111308e-44
41,a,days,2,51714.5,637.0,2.016799107315528e-45
42,a,double,16,37675.625,464.875,3.898990004759833e-46
43,a,down,18,38465.72222222222,479.8888888888889,0.0912661062908002
44,a,dulce,1,43380.0,543.0,3.15285240249118e-44
45,a,díaz,1,65094.0,795.0,3.0670550824489854e-44
46,a,eight,19,36200.47368421053,449.3157894736842,8.198256232727661e-46
47,a,eighteen,1,54835.0,672.0,1.231899462250059e-44
48,a,eighteenth,1,25505.0,322.0,3.15285240249118e-44
49,a,eleven,10,35083.3,437.2,2.3335149255215143e-45
50,a,eleventh,2,67089.0,822.0,1.2534411263788804e-44
51,a,emilio,1,58037.0,710.0,1.2534411263788804e-44
52,a,enrique,2,36139.0,446.5,1.2373001810278493e-44
53,a,espinosa,1,17275.0,229.0,2.834575312394031e-44
54,a,evening,14,45240.21428571428,556.6428571428571,1.2437197142273081e-45
55,a,federico,1,63258.0,773.0,1.2682192144647973e-44
56,a,fernández,2,43061.5,530.0,1.2682192144647973e-44
57,a,fifteenth,2,54261.0,667.0,3.109388441998107e-44
58,a,first,2,39367.0,488.5,5.565417291102543e-45
59,a,five,9,32363.333333333332,405.3333333333333,1.049046556032228e-45
60,a,for,135,43742.51111111111,539.1925925925926,0.1456560418945679
61,a,four,23,40066.913043478264,497.9130434782609,5.117968583606723e-46
62,a,fourteenth,1,58775.0,716.0,6.862254533531668e-45
63,a,fourth,1,32427.0,404.0,1.2534411263788804e-44
64,a,francisco,1,69815.0,845.0,3.243351392706311e-44
65,a,friday,7,44943.57142857143,555.1428571428571,2.980209601099191e-45
