,vref,source,target,translation_score
0,GEN 1:1,god,בְּ,1.2318713270959249e-44
1,GEN 1:1,god,רֵאשִׁ֖ית,1.8825533244722236e-43
2,GEN 1:1,god,בָּרָ֣א,3.3391815131329693e-44
3,GEN 1:1,god,אֱלֹהִ֑ים,0.8959781619408235
4,GEN 1:1,god,אֵ֥ת,2.2896404584366384e-44
5,GEN 1:1,god,הַ,2.4274206584404642e-45
6,GEN 1:1,god,שָּׁמַ֖יִם,3.651292540519978e-44
7,GEN 1:1,god,וְ,2.4274206584404642e-45
8,GEN 1:1,god,אֵ֥ת,2.2896404584366384e-44
9,GEN 1:1,god,הָ,2.737227999374284e-45
10,GEN 1:1,god,אָֽרֶץ,3.5267629867631075e-44
11,GEN 1:1,and,בְּ,1.2318713270959249e-44
12,GEN 1:1,and,רֵאשִׁ֖ית,1.8825533244722236e-43
13,GEN 1:1,and,בָּרָ֣א,3.3391815131329693e-44
14,GEN 1:1,and,אֱלֹהִ֑ים,3.393792938846779e-44
15,GEN 1:1,and,אֵ֥ת,2.289531264794399e-44
16,GEN 1:1,and,הַ,1.6235816282880867e-45
17,GEN 1:1,and,שָּׁמַ֖יִם,3.651292540519978e-44
18,GEN 1:1,and,וְ,0.3524808829895629
19,GEN 1:1,and,אֵ֥ת,2.289531264794399e-44
20,GEN 1:1,and,הָ,0.06220751003664019
21,GEN 1:1,and,אָֽרֶץ,3.5267629867631075e-44
22,GEN 1:1,in,בְּ,0.8912732054725461
23,GEN 1:1,in,רֵאשִׁ֖ית,0.18300161028457465
24,GEN 1:1,in,בָּרָ֣א,3.3391815131329693e-44
25,GEN 1:1,in,אֱלֹהִ֑ים,3.393792938846779e-44
26,GEN 1:1,in,אֵ֥ת,2.289531264794399e-44
27,GEN 1:1,in,הַ,7.966805589069344e-45
28,GEN 1:1,in,שָּׁמַ֖יִם,3.651292540519978e-44
29,GEN 1:1,in,וְ,7.966805589069344e-45
30,GEN 1:1,in,אֵ֥ת,2.289531264794399e-44
31,GEN 1:1,in,הָ,7.966805589069344e-45
32,GEN 1:1,in,אָֽרֶץ,3.5267629867631075e-44
