,source,target,co-occurrence_count,translation_score
0,a,אֱלֹהִ֔ים,1,2.9856136996129754e-44
1,a,בְּ,1,2.9856136996129754e-44
2,a,בֵּ֥ין,1,2.9856136996129754e-44
3,a,הַ,1,2.9856136996129754e-44
4,a,וִ,1,1.5465797087194255e-41
5,a,וַ,1,2.9856136996129754e-44
6,a,יְהִ֥י,1,2.9871803771057805e-44
7,a,יֹּ֣אמֶר,1,2.9856136996129754e-44
8,a,יהִ֣י,1,2.9856136996129754e-44
9,a,לָ,1,2.9856136996129754e-44
10,a,מַ֖יִם,1,2.9856136996129754e-44
11,a,מַבְדִּ֔יל,1,2.9856136996129754e-44
12,a,מָֽיִם,1,2.9856136996129754e-44
13,a,מָּ֑יִם,1,1.5402794977810165e-41
14,a,רָקִ֖יעַ,1,0.8025731246479577
15,a,ת֣וֹךְ,1,2.98561390540376e-44
16,above,אֱלֹהִים֮,1,1.4551887270068913e-42
17,above,אֲשֶׁ֖ר,1,0.4745702867168543
18,above,אֲשֶׁר֙,1,2.3775972047277766e-41
19,above,אֶת,1,4.05784568117692e-42
20,above,בֵ֣ין,1,2.3775972047277766e-41
21,above,בֵּ֤ין,1,2.3775972047277766e-41
22,above,הַ,2,1.4551887270068913e-42
23,above,הָ,1,1.4551887270068913e-42
24,above,וַ,2,1.4551887270068913e-42
25,above,וּ,1,1.4551887270068913e-42
26,above,וַֽ,1,2.3775972047277766e-41
27,above,יְהִי,1,1.4551887270068913e-42
28,above,יַּ֣עַשׂ,1,2.3775972047277766e-41
29,above,יַּבְדֵּ֗ל,1,2.3775972047277766e-41
30,above,כֵֽן,1,1.4551887270068913e-42
31,above,לָ,2,1.4551887270068913e-42
32,above,מִ,1,1.4551887270068913e-42
33,above,מֵ,1,0.6556341842992371
34,above,מַּ֔יִם,1,2.3775972047277766e-41
35,above,מַּ֨יִם֙,1,2.3775972047277766e-41
36,above,עַ֣ל,1,2.3775972047277766e-41
37,above,רָקִ֑יעַ,1,2.3775972047277766e-41
38,above,רָקִ֔יעַ,1,2.3775972047277766e-41
39,above,רָקִיעַ֒,1,2.3775972047277766e-41
40,above,תַּ֣חַת,1,2.3775972047277766e-41
41,and,א֑וֹר,1,1.787514977507149e-44
42,and,א֖וֹר,2,7.262354937718302e-45
43,and,אֱלֹהִ֑ים,1,3.393792938846779e-44
44,and,אֱלֹהִ֔ים,3,2.1879247662446834e-44
45,and,אֱלֹהִ֖ים,1,3.3389206183613003e-44
46,and,אֱלֹהִ֛ים,1,3.235455276295149e-44
47,and,אֱלֹהִ֤ים,1,2.4270618182763144e-44
48,and,אֱלֹהִים֮,1,3.0258102895763997e-44
49,and,אֲשֶׁ֖ר,1,1.1884242813071151e-43
50,and,אֲשֶׁר֙,1,2.3775972047277766e-41
51,and,אֵ֥ת,2,2.289531264794399e-44
52,and,אֶחָֽד,1,3.107146830481551e-44
53,and,אֶת,2,1.3329406566237628e-12
54,and,אָ֗רֶץ,1,0.026869074819439943
55,and,אָֽרֶץ,1,3.5267629867631075e-44
56,and,אֽוֹר,1,2.8004451413449575e-44
