,vref,source,target,alignment_count,verse_score,alignment_score
0,GEN 1:1,in,בְּ,1,0.5931549858897882,0.6042081444825551
1,GEN 1:1,in,רֵאשִׁ֖ית,1,0.5931549858897882,0.24627155095034647
2,GEN 1:1,the,רֵאשִׁ֖ית,1,0.5931549858897882,0.4534281965420992
3,GEN 1:1,beginning,בָּרָ֣א,1,0.5931549858897882,0.3917232994642602
4,GEN 1:1,beginning,אֱלֹהִ֑ים,1,0.5931549858897882,0.2629922404974936
5,GEN 1:1,god,אֱלֹהִ֑ים,1,0.5931549858897882,0.3520373642056694
6,GEN 1:1,created,אֵ֥ת,1,0.5931549858897882,0.31914998508506365
7,GEN 1:1,the,הַ,1,0.5931549858897882,0.2888026432885754
8,GEN 1:1,heaven,שָּׁמַ֖יִם,1,0.5931549858897882,0.26014715306333275
9,GEN 1:1,heaven,אֵ֥ת,1,0.5931549858897882,0.14337694667026646
10,GEN 1:1,and,וְ,1,0.5931549858897882,0.23377851364190597
11,GEN 1:1,the,הָ,1,0.5931549858897882,0.47434482452463
12,GEN 1:1,earth,אָֽרֶץ,1,0.5931549858897882,0.6042081444825552
13,GEN 1:2,and,וְ,1,0.3808772869420533,0.3568566847474259
14,GEN 1:2,the,הָ,1,0.3808772869420533,0.24839690193738231
15,GEN 1:2,earth,הָ,1,0.3808772869420533,0.2787343621445801
16,GEN 1:2,was,הָ,1,0.3808772869420533,0.18642537012900734
17,GEN 1:2,without,אָ֗רֶץ,1,0.3808772869420533,0.2073553048068903
18,GEN 1:2,form,הָיְתָ֥ה,1,0.3808772869420533,0.2287113545368218
19,GEN 1:2,and,אָ֗רֶץ,1,0.3808772869420533,0.097586661938789
20,GEN 1:2,and,תֹ֨הוּ֙,1,0.3808772869420533,0.21988564637514452
21,GEN 1:2,void,וָ,1,0.3808772869420533,0.1879991760503014
22,GEN 1:2,and,בֹ֔הוּ,1,0.3808772869420533,0.15773989106332742
23,GEN 1:2,and,וְ,1,0.3808772869420533,0.09655786603548282
24,GEN 1:2,darkness,וְ,1,0.3808772869420533,0.13311926140945038
