,source,target,alignment_count,verse_score,alignment_score
0,a,רָקִ֖יעַ,1,0.41982480982658793,0.2669743447849812
1,above,מֵ,1,0.23308178115973377,0.16653305450423656
2,and,אָ֗רֶץ,1,0.3808772869420533,0.097586661938789
3,and,בֹ֔הוּ,1,0.3808772869420533,0.15773989106332742
4,and,וְ,5,0.4291919407071775,0.20137746825771216
5,and,וַ,7,0.4046766935226995,0.3514604498734518
6,and,וַֽ,3,0.47400282541475686,0.24916290912946817
7,and,י֔וֹם,1,0.410172856819939,0.23502583769653243
8,and,יְהִי,2,0.410172856819939,0.1192676196770395
9,and,לָ֑יְלָה,1,0.410172856819939,0.21346444927330863
10,and,תֹ֨הוּ֙,1,0.3808772869420533,0.21988564637514452
11,be,יְהִ֣י,1,0.6016627626043927,0.38186473731681714
12,be,יְהִ֥י,1,0.41982480982658793,0.26635158152729654
13,beginning,אֱלֹהִ֑ים,1,0.5931549858897882,0.2629922404974936
14,beginning,בָּרָ֣א,1,0.5931549858897882,0.3917232994642602
15,called,אֱלֹהִ֤ים,1,0.410172856819939,0.23400962298696715
16,called,יִּקְרָ֨א,1,0.410172856819939,0.21302899398610106
17,created,אֵ֥ת,1,0.5931549858897882,0.31914998508506365
18,darkness,וְ,2,0.39552507188099617,0.1473973850034744
19,darkness,חֹֽשֶׁךְ,1,0.46745643154425476,0.42951974928433534
20,day,אֶחָֽד,1,0.410172856819939,0.3712187116373494
21,day,אוֹר֙,1,0.410172856819939,0.22582329767086087
22,deep,תְה֑וֹם,1,0.3808772869420533,0.19970632439064406
23,divide,מַבְדִּ֔יל,1,0.41982480982658793,0.217667172401037
24,divided,הָ,1,0.46745643154425476,0.24927546437286172
25,earth,אָֽרֶץ,1,0.5931549858897882,0.6042081444825552
26,earth,הָ,1,0.3808772869420533,0.2787343621445801
27,evening,וַֽ,1,0.410172856819939,0.14531467286969332
28,face,עַל,2,0.3808772869420533,0.17874847691050905
29,firmament,עַ֣ל,1,0.23308178115973377,0.15537005269912005
30,firmament,רָקִ֑יעַ,1,0.23308178115973377,0.13177760787509432
31,first,י֥וֹם,1,0.410172856819939,0.29067787181504867
32,form,הָיְתָ֥ה,1,0.3808772869420533,0.2287113545368218
