,source,target,alignment_count,verse_score,alignment_score
0,a,a,3,0.39310139852572584,0.2723052680404763
1,a,am,8,0.44867198445186224,0.44407790230800226
2,a,at,73,0.48971243630194783,0.19195896047666947
3,a,call,7,0.4403679862090769,0.28123102435972197
4,a,for,67,0.5326895132809413,0.15098326445858062
5,a,leaving,16,0.5035469135385747,0.19755231792980862
6,a,me,5,0.40545609091210666,0.24028009182495716
7,a,move,1,0.2599456307326383,0.3328574029079885
8,a,of,6,0.5517594991683556,0.10370284396860928
9,a,to,86,0.482315804714196,0.21381615341313673
10,a,tomorrow,1,0.5953298785716995,0.23208884109576608
11,a,up,68,0.48509703386143277,0.20307820904657012
12,a,us,3,0.37373730966898216,0.2743199712892978
13,a,wake,2,0.3913697477467971,0.2217494648367773
14,a,what,1,0.44883267715319325,0.6855758030036263
15,abril,april,2,0.5529028168192391,0.08010706635763995
16,abril,nineteenth,2,0.5272484563040467,0.2047573219518375
17,abril,ninth,1,0.5449284065389083,0.24637579498201911
18,acepta,do,1,0.6446952905096348,0.6855758030036263
19,aceptan,do,3,0.6056575149256288,0.6655771758032318
20,aceptaría,would,1,0.6446925089552652,0.6855758030036263
21,aceptarían,would,1,0.7115006165202482,0.6255799214024428
22,acondicionado,air,6,0.48304663180924173,0.22505873557922976
23,acondicionado,conditioning,26,0.5496845885070577,0.2085380442417639
24,acuerdo,agree,1,0.5739123882979489,0.6855758030036263
25,adiós,bye,2,0.7174662218172478,0.92
26,adiós,good,2,0.7174662218172478,0.92
27,agua,hot,5,0.4986072989348882,0.15188338208289018
28,agua,water,2,0.4717168245107808,0.3215395397595589
29,aire,air,26,0.5496845885070577,0.1868229532797365
30,al,in,6,0.4854841639467726,0.25214386691567214
31,al,on,4,0.530450906040041,0.2403390326243954
32,al,the,25,0.5025854394254794,0.321218516479588
33,alguna,a,32,0.5275171304598144,0.260417278563682
34,alguna,do,1,0.4682870749006134,0.19924448092919883
35,alguna,have,5,0.48868176384710205,0.40545694000761
36,alguna,look,3,0.509520863075819,0.11312682420276353
37,alguna,see,11,0.5402383638529362,0.30416544277419105
38,alguna,showing,2,0.5460403954472417,0.20922771516973238
39,alguna,there,4,0.5672101683359013,0.38504466550944566
40,alicia,alicia,1,0.4334607375482473,0.1614573921307837
41,amelia,amelia,1,0.5710602963410472,0.3345414344324608
42,andrés,andrés,1,0.5947228103572771,0.2004997464101676
43,anotados,are,1,0.46876711226958256,0.3361502172793518
