,word,Unnamed: 2,domains,english,spanish,french,indonesian
0,Ἀαρών,PN,person,Aaron,Aarón,Aaron,
1,Ἀβαδδών,PN,supernatural beings and powers,Abaddon / Destroyer,Abadón,Destructeur / Abaddôn,
2,ἀββά,BE,supernatural beings and powers /  titles /  kinship,abba / father,,Père,Abba / Bapa
3,Ἀβιαθάρ,PN,person,Abiathar,Abiatar,Abiatar,
4,Ἀβιά-1,PN,person,Abijah,Abías,Abia,
5,Ἀβιά-2,PN,person,Abijah,Abías,Abia,
6,Ἀβιληνή,PN,area,Abilene,Abilene,Abilène,
7,Ἀβιούδ,PN,person,Abiud,Abihud,Abioud,
8,Ἀβραάμ,PN,person,Abraham,Abraham,Abraham,
9,ἀγαθοεργέω,AT,morals and ethics,do good / perform good deeds,,faire du bien,lakukan baik
10,ἀγαθοποιέω,AT,morals and ethics,do good / perform good deeds,hacer bien,faire le bien / aider / vivre honnêtement,
11,ἀγαθοποιΐα,AT,morals and ethics,good works,,bons ouevres / faire le bien,perilaku baik
12,ἀγαθοποιός,BE,people /  morals and ethics,one who does good / one who benefits others,bienhechor,bienfaiteur,
13,ἀγαθός,AT,morals and ethics,good / goodness / good act,,le bien / le bon,yang baik
14,ἀγαθωσύνη,AT,morals and ethics,good / goodness / good act,bueno / bondad / buena acción,bonté,
15,ἀγαπάω,AT,affection,to love,amar,aimer,
16,ἀγαπητός,AT,affection,beloved / dear,amado,bien-aimé / cher / Unique,
17,ἀγάπη-1,AT,affection,love,amor,amour,
18,ἀγάπη-2,AT,affection,fellowship meal,ágape,amour,
19,Ἁγάρ,PN,person,Hagar,Agar,Agar,
20,ἀγγεῖον,RE,artifacts,container / vessel,frasco / vasija,récipient / vase,buli / botol
21,ἁγιασμός,AT,"clean, pure, holy; attitudes and emotions",consecration / dedication,santificación,consécration / dédicace / sanctification / sainteté,
22,ἁγιάζω-1,AT,"clean, pure, holy",dedicate / consecrate,,dédicacer / consacrer,
23,ἁγιάζω-2,AT,"clean, pure, holy",make holy / sanctify,,faire sacré / sanctifier,
24,ἁγιάζω-3,AT,"clean, pure, holy",hallow / regard as holy,,sanctifier,
25,ἁγιότης,AT,"clean, pure, holy",holiness,santidad,sainteté / pureté morale / motif pur,
26,ἁγιωσύνη,AT,"clean, pure, holy",holiness,santidad,sainteté,
