,word,,domains,english,spanish,french,indonesian
0,אֲבַגְתָא,PN,person,Abagtha,Abagtá,Avagta,Abagta
1,אֵבֶה,FL,grasses,papyrus / reeds,papiro,papyrus,pandan / papirus
2,אֵבוּס,RE,containers /  animal husbandry,manger / crib / feed trough,pesebre,mangeoire / huche,palungan / tempat makan
3,אֲבַטִּיחַ,FL,fruits,melon,melón,melon,semangka
4,אֲבִי,PN,person,Abi,Abí,Avi,Abi
5,אֲבִי הָעֶזְרִי,PN,group,Abiezrite,Abiézer,Avièzer,Abiezer
6,אֲבִי־עַלְבוֹן,PN,person,Abi-Albon,Abí-albón,Avi-Alvôn,Abialbon
7,אֲבִיאֵל-1,PN,person,Abiel,Abiel,Aviël,Abiel
8,אֲבִיאֵל-2,PN,person,Abiel,Abiel,Aviël,Abiel
9,אֲבִיאָסָף,PN,person,Abiasaph,Abiasaf,Aviasaf,Abiasaf
10,אֲבִיגַיִל-1,PN,person,Abigail,Abigail,Avigaïl,Abigail
11,אֲבִיגַיִל-2,PN,person,Abigail,Abigail,Avigaïl,Abigail
12,אֲבִידָן,PN,person,Abidan,Abidán,Avidân,Abidan
13,אֲבִידָע,PN,person,Abida,Abidá,Avida,Abida
14,אֲבִיָּה-1,PN,person,Abijah,Abías,Aviya,Abia
15,אֲבִיָּה-2,PN,person,Abijah,Abías,Abiya,Abia
16,אֲבִיָּה-3,PN,person,Abijah,Abías,Aviya,Abia
17,אֲבִיָּה-4,PN,person,Abijah,Abías,Aviya,Abia
18,אֲבִיָּה-5,PN,person,Abijah,Abías,Abiya,Abia
19,אֲבִיָּה-6,PN,person,Abijah,Abías,Aviya,Abia
20,אֲבִיָּה-7,PN,person,Abijah,Abí,Aviya,Abia
21,אֲבִיָּה-8,PN,person,Abijah,Abías,Aviya,Abia
22,אֲבִיָּהוּ,PN,person,Abijah,Abiam,Abiya,Abia
23,אֲבִיהוּא,PN,person,Abihu,Abihú,Avihou,Abihu
24,אֲבִיהוּד,PN,person,Abihud,Abihud,père d'Ehoud,Abihud
25,אֲבִיהַיִל-1,PN,person,Abihail,Abihail,Avihaïl,Abihail
26,אֲבִיהַיִל-2,PN,person,Abihail,Abihail,Avihaïl,Abihail
27,אֲבִיחַיִל-1,PN,person,Abihail,Abihail,Avihaïl,Abihail
28,אֲבִיחַיִל-2,PN,person,Abihail,Abihail,Avihaïl,Abihail
29,אֲבִיחַיִל-3,PN,person,Abihail,Abihail,Avihaïl,Abihail
30,אֲבִיטוּב,PN,person,Abitub,Abitub,Avitouv,Abitub
31,אֲבִיטַל,PN,person,Abital,,Avital,Abital
32,אֲבִיָּם,PN,person,Abijam,Abiam,Abiyam,Abiam
33,אֲבִימָאֵל,PN,person,Abimael,Abimael,Avimaël,Abimael
34,אֲבִימֶלֶךְ-1,PN,person,Abimelech,Abimélec,Abimélek,Abimelekh
35,אֲבִימֶלֶךְ-2,PN,person,Abimelech,Abimélec,Abimélek,Abimelekh
36,אֲבִימֶלֶךְ-3,PN,person,Abimelech,Ahimélec,Abimélek,Abimelekh
37,אֲבִימֶלֶךְ-4,PN,person,Abimelech,Abimélec,Abimélek,Abimelekh
38,אֲבִינָדָב-1,PN,person,Abinadab,Abinadab,Avinadav,Abinadab
39,אֲבִינָדָב-2,PN,person,Abinadab,Abinadab,Avinadav,Abinadab
40,אֲבִינָדָב-3,PN,person,Abinadab,Abinadab,Avinadav,Abinadab
41,אֲבִינֹעַם,PN,person,Abinoam,Abinóam,Avinoam,Abinoam
42,אֶבְיָסָף,PN,person,Ebiasaph,Ebiasaf,Eviasaf,Ebyasaf
43,אֲבִיעֶזֶר-1,PN,person,Abiezer,Abiézer,Avièzer,Abiezer
44,אֲבִיעֶזֶר-2,PN,person,Abiezer,Abiézer,Avièzer,Abiezer
45,אַבִּיר-1,FA,mammals /  domestic animals,bull / stallion,toro / caballo,étalons / bouc,sapi / lembu atau kuda jantan
46,אַבִּיר-2,AT,animals,mighty one,fuerte / poderoso / defensor,indomptables / vaillant,yang perkasa
47,אָבִיר,BE,supernatural beings and powers /  titles,mighty one,fuerte / poderoso,un indomptable / un vaillant,Yang MahaKuasa
48,אַבִּיר לֵב,AT,purpose,strong-willed / brave / stubborn,valiente / testarudo / tenaz,indomptable / brave / têtu,berani / congkak
49,אֲבִירָם-1,PN,person,Abiram,Abiram,Abiram,Abiram
50,אֲבִירָם-2,PN,person,Abiram,Abiram,Aviram,Abiram
51,אֲבִישַׁג,PN,person,Abishag,Abisag,Avishag,Abisag
52,אֲבִישׁוּעַ-1,PN,person,Abishua,Abisúa,Avishoua,Abisua
53,אֲבִישׁוּעַ-2,PN,person,Abishua,Abisúa,Avishoua,Abisua
54,אֲבִישׁוּר,PN,person,Abishur,Abisur,Avishour,Abisur
55,אֲבִישַׁי,PN,person,Abishai,Abisai,Avishaï,Abisai
56,אֲבִישָׁלוֹם,PN,person,Absalom / Abishalom,Absalón,Absalom,Abisalom
57,אֶבְיָתָר,PN,person,Abiathar,Abiatar,Abiatar,Abyatar
58,אָבֵל,PN,settlement,Abel,Abel,Avel,Abel
